Download Labels,Descargar etiquetas
Coupons Information,Información de cupones
Coupon Qty,Cantidad del cupón
Code Length,Longitud del código
"Excluding prefix, suffix and separators.","Excluyendo prefijo, sufijo y separadores."
Code Format,Formato de código
Code Prefix,Prefijo de código
Code Suffix,Sufijo del código
Dash Every X Characters,Dash Todos los personajes X
If empty no separation.,"Si está vacío, no hay separación."
Wrong rule specified.,Se ha especificado una regla incorrecta.
The rule has been saved.,La regla se ha guardado.
An error occurred while saving the rule data. Please review the log and try again.,Se ha producido un error al guardar los datos de la regla. Revise el registro e inténtelo de nuevo.
Rating Title,Calificación Título
Is Aggregatable,Es agregable
Default Value,Valor por defecto
Rating Visibility,Visibilidad de calificación
Visible In,Visible en
"If you do not specify a rating title for a store, the default value will be used.","Si no especifica un título de calificación para una tienda, se utilizará el valor predeterminado."
Assigned Options,Opciones asignadas
Option Label,Etiqueta de opción
Rating Information,Información de calificación
Rating Options,Opciones de calificación
Save Rating,Ahorrar valoración
Delete Rating,Eliminar evaluación
Edit Rating,Editar Valoración
New Rating,Nueva Valoración
Rating Name,Nombre de Calificación
Manage Ratings,Administrar calificaciones
Add New Rating,Nueva Valoración
Review Details,Revision de detalles
Summary Rating,Calificación resumida
Detailed Rating,Evaluación detallada
Detailed Non-Aggregatable Rating,Clasificación detallada no agregable
Nickname,Apodo
Summary of Review,Resumen de la revisión
Review,Valorar
Save Review,Leer más
Delete Review,Eliminar revisión
Edit Review '%s,Editar revisión '%s
New Review,Nuevo revisión
Created On,Creado el
Product Name,Nombre del producto
Product SKU,SKU del Producto
Update Status,Actualizar Estado
Pending Vendor Reviews of Customer `%s`,Reseñas de proveedores pendientes del cliente `%s`
Pending Vendor Reviews,Pendiente Comentarios de proveedores
All Vendor Reviews of Customer `%s`,Todas las opiniones de los clientes del cliente `%s`
All Vendor Reviews,Todas las opiniones de los vendedores
Rating with %s id not found,Valoración con%s id no encontrado
The rating has been saved.,La calificación se ha guardado.
The rating has been deleted.,Se ha eliminado la calificación.
Reviews and Ratings,Reseñas y Valoración
Edit Vendor Review,Editar revisión del proveedor
Customer Reviews,Reseñas de clientes
The review was removed by another user or does not exist.,La revisión fue eliminada por otro usuario o no existe.
The review has been saved.,La revisión se ha guardado.
The review has been deleted,La revisión ha sido eliminada.
Please select review(s).,Seleccione la (s) revisión (s).
An error occurred while updating the selected review(s).,Se ha producido un error al actualizar las revisiones seleccionadas.
Unable to get the product ID.,No se puede obtener el ID del producto.
My Vendor Pending Reviews,Mi Vendedor Pendiente Comentarios
My Vendor Reviews,Comentarios de mi proveedor
Review not allowed.,Revisión no permitida.
Your review has been accepted for moderation.,Su comentario ha sido aceptado para moderación.
Unable to post the review.,No se puede publicar la revisión.
You have already voted on this review!,Ya has votado en esta reseña!
Your voice has been accepted. Thank you!,Su voz ha sido aceptada. ¡Gracias! 
Review was not found!,No se encontró la reseña.
"Unable to vote. Please, try again later.",Incapaz de votar. Inténtalo de nuevo más tarde.
Reviews for vendor %s,Reseñas de vendor%s
Pending Reviews,Revisiones pendientes
All Reviews,Todas las reseñas
Vendor Rating Options,Opciones de calificación de proveedores
Allow customer review on the following statuses,Permitir la revisión del cliente en los siguientes estados
"Delay in days to send ""Email notification / Follow up emails""","Retraso en días para enviar ""notificación por correo electrónico / seguimiento de correos electrónicos"""
"Setup delay in days when to send ""Email notification / Follow up emails"" to inspire customer review vendor shipments. Separate multiple days with comma "","". This will allow arbitrary days to send email notification and further follow up emails.","El retraso de la configuración en días cuando enviar ""notificación por correo electrónico / seguimiento de correos electrónicos"" para inspirar los envíos de proveedores de revisión de clientes. Separar varios días con coma "","". Esto permitirá días arbitrarios para enviar notificación por correo electrónico y seguimiento de correos electrónicos."
Rating with the same title,Puntuación del mismo título
Vendor Reviews,Opiniones de vendedores
Allow customers review/rate vendor,Permitir a los clientes revisar / calificar al proveedor
entity_id=%s is already used in rating/rating_entity. Change it in %s.,Entity_id =%s ya se utiliza en rating / rating_entity. Cambiarlo en%s.
entity_id=%s is already used in review/review_entity. Change it in %s.,Entity_id =%s ya se utiliza en review / review_entity. Cambiarlo en%s.
Customer Tax Class Information,Información de Clase de Impuesto de Clientes
Vendor Tax Class Information,Información sobre la clase de impuestos de proveedores
Product Tax Class Information,Información de Clase de Impuesto de Productos
Product Tax Classes,Clases de impuestos sobre el producto
Add New Class,Añadir nueva clase
Customer Tax Classes,Clases de impuestos de clientes
Vendor Tax Classes,Clases de impuestos de proveedores
Tax Rule Information,Información de la regla de impuestos
Customer Tax Class,Clase de impuesto al cliente
Product Tax Class,Clase del impuesto sobre el producto
Vendor Tax Class,Clase de impuestos de proveedores
Tax Rate,IVA
"Tax rates at the same priority are added, others are compounded.","Se agregan las tasas impositivas con la misma prioridad, otras se combinan."
There was an error while updating vendor(s) type,Se ha producido un error al actualizar el tipo de proveedor
You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.,No puede eliminar esta clase de impuesto tal como se utiliza en las Reglas de impuestos. Tienes que eliminar las reglas en las que se usa primero.
You cannot delete this tax class as it is used for %d vendors.,No puede eliminar esta clase de impuesto tal como se utiliza para los proveedores de%d.
The tax class has been deleted.,Se ha eliminado la clase impositiva.
An error occurred while deleting this tax class.,Se ha producido un error al eliminar esta clase impositiva.
Manage Vendor Tax Classes,Gestionar las clases de impuestos de proveedores
"Rules (%s) already exist for the specified Tax Rate, Customer Tax Class and Product Tax Class combinations","Ya existen reglas (%s) para las combinaciones de Clase de Impuesto al Cliente, Clase de Impuesto al Cliente y Clase de Impuesto del Producto"
Change Vendor Tax Class,Clase de cambio de impuestos de proveedores
Submit Return,Enviar Volver
Submit Shipment,Enviar Envío
New Return for Order #%s,Nuevo retorno por pedido #%s
Return #,regresaste
Return Created,Volver Creado
Shipper Name,Nombre del remitente
Tracking Price,Precio de seguimiento
Return View,Volver Ver
uReturn #%1$s | %2$s,UReturn #%1$s | %2$s
uReturns,UReturns
Invalid entity model,Modelo de entidad no válido
Order # %s,Ordenar {0}%s{/0}
About Your Return,Acerca de su regreso
This Return no longer exists.,Este Retorno ya no existe.
The order no longer exists.,La orden ya no existe.
The Return has been created.,El Retorno ha sido creado.
New Return,Nueva vuelta
View Return,Ver Volver
Wrong generate label request.,Error al generar la solicitud de etiqueta.
Cannot initialize rma for adding tracking number.,No se puede inicializar rma para agregar el número de seguimiento.
Cannot add tracking number.,No se puede agregar el número de seguimiento.
Cannot initialize rma.,No se puede inicializar rma.
Cannot printf label.,No se puede imprimir la etiqueta.
The carrier needs to be specified.,El portador necesita ser especificado.
Tracking number cannot be empty.,El número de seguimiento no puede estar vacío.
Cannot initialize rma for delete tracking number.,No se puede inicializar rma para eliminar el número de seguimiento.
Cannot delete tracking number.,No se puede eliminar el número de seguimiento.
Cannot load track with retrieving identifier.,No se puede cargar la pista con el identificador de recuperación.
Cannot retrieve tracking number detail.,No se puede recuperar el detalle del número de seguimiento.
uReturn,UReturn
RMA status has been changed,Se ha cambiado el estado de RMA
Cannot change RMA status,No se puede cambiar el estado de RMA
Your comment has been sent,Su comentario ha sido enviado
No RMAs found for these criteria,No se encontraron RMA para estos criterios
RMA status has been updated,Se ha actualizado el estado de RMA
New uReturn,Nuevo uReturn
uReturn Update,UReturn Actualización
Returns,Devoluciones
Returns Email Sender,Devuelve el remitente del correo electrónico
Returns Email Template,Plantilla de correo electrónico de devoluciones
Send Returns Email Copy To,Enviar devoluciones Copia de correo electrónico a
Comma-separated.,separados por comas
Send Returns Email Copy Method,Enviar devuelve el método de copia de correo electrónico
uReturns Comments,UReturns Comentarios
Returns Comment Email Sender,Devoluciones Comentarios Email Sender
Returns Comment Email Template,Devoluciones Comentario Email Template
Send Returns Comment Email Copy To,Enviar devoluciones Comentario Enviar por correo electrónico Copiar a
New RMA Vendor Notification Email Template,Nueva plantilla de correo electrónico de notificación de proveedores RMA
RMA Comment Vendor Notification Email Template,Plantilla de correo electrónico de notificación de proveedores de RMA
Hide order information from customer on existing RMA page,Ocultar información de pedido del cliente en la página RMA existente
"Hide order information from customer on ""Request New RMA"" page","Ocultar información de pedido del cliente en la página ""Solicitar nueva RMA"""
Statuses,Estados
Reasons to return,Razones para volver
Item Conditions,Condiciones del artículo
Customer success,Historias de éxito
Customer no items selected,No hay artículos seleccionados
"Customer instructions on ""Request New RMA"" page","Instrucciones del cliente en la página ""Solicitar nueva RMA"""
Create uReturn,Crear uReturn
"Invalid qty to create rma for item ""%s","Cantidad incorrecta para crear rma para el elemento ""%s"
"No detail for number ""%s","No hay detalle para el número ""%s"
Cannot register existing rma,No se puede registrar el rma existente
Cannot create an empty rma.,No se puede crear un rma vacío.
Global,Un Pensador Global
RMA ID,Número de autorización de devolución de mercadería
RMA Date,RMA Fecha
RMA Status,Estado RMA
Reason to return,Razón de devolver
Origin,Origen
Title/Sort Order,Título / Orden de Clasificación
Template,Plantilla
Header,Encabezamiento 
Item Separate Template,Plantilla separada del elemento
Totals Template,Plantilla de totales
Use Item Separate Template,Utilizar plantilla independiente de artículo
Footer Separate Template,Plantilla independiente de pie de página
Remove,Eliminar
Add Template,Agregar plantilla
Billing,Facturación
Limits,Límites
Code:,Código:
Title:,Títul
Billing Type:,Modo de Pedido
Offline (Manual),Desconectado (Manual)
Auto (Paypal Express),Auto (Paypal Express)
Product SKU:,SKU del Producto
Limit Products:,Productos límite:
Allow Microsite:,Permitir microsite:
Show On Registration Form:,Mostrar en el formulario de registro:
Add Membership Type,Añadir tipo de membresía
Fieldset Title/Sort Order,Título del campo / orden de clasificación
Top/Bottom wide fields,Campos superiores / inferiores
Left/Right column fields,Columna izquierda / derecha
Top Wide Fields,Principales campos amplios
Bottom Wide Fields,Campos inferiores
Left Column Fields,Campos de columna izquierda
Right Column Fields,Campos de columna derecha
Add Fieldset,Añadir Fieldset
Field,Campo
Is Required,Es Requerido
Use custom label,Usar etiqueta personalizada
Has URL,Tiene URL
Add Field,Agregar campo
Row Subtotal,Subtotal de fila
Gift,Regalo
No ordered items,No hay artículos ordenados
Update Items and Qty\'s,Actualizar elementos y cantidades
Total %d product(s),Total%d producto (s)
Subtotal:,Subtotal:
Excl. Tax,(excluída la Impuesto
Incl. Tax,IVA incl:
Total incl. tax,Total (incl imp)
Tier Pricing,Nivel de precios
Custom Price,precio personalizado 
Move to Shopping Cart,Mover al carrito de la compra
Move to Wishlist,Mover a la lista de deseos
This product has not been configured.,Este producto no ha sido configurado.
Save Vendor Updates,Guardar actualizaciones de proveedores
Check Vendors Stock,Comprobar existencias de proveedores
Are you sure you want to change the vendors and send notifications?,¿Seguro que desea cambiar los proveedores y enviar notificaciones?
No stock available,No hay existencias disponibles
Customer Group,grupo de clientes
All Websites,Todos los sitios web
Add Group Price,Agregar precio de grupo
QTY,CANTIDAD
ALL GROUPS,TODOS LOS GRUPOS
and above,y superior
Add Tier Price,Añadir precio de nivel
Add Vendor,Añadir Proveedor
Drop Shipping Vendor Associations,Drop Shipping Vendedor Asociaciones
Price/Cost,Precio de coste
Availability,Disponibilidad
Status/State(Condition),Estado / Estado (Condición)
Vendor Price:,Precio del proveedor:
Cost:,Costo:
Vendor Special Price:,Vendedor Precio Especial:
Special From Date:,Especial desde la fecha:
Special To Date:,Especial hasta la fecha:
Free Shipping:,Envío gratuito.
Shipping Price:,Precio de envío:
Group Price:,Precio del grupo:
Tier Price:,Tier Precio:
Backorders:,Backorders:
State:,Estado:
Date:,Fecha:
Status:,Estado:
State(Condition):,Estado (Condición):
State Description:,Estado Descripción:
Tips:,CONSEJOS
"If the same vendor is selected multiple times, only the first occurence will be saved","Si el mismo proveedor se selecciona varias veces, sólo se guardará la primera ocurrencia"
"If Vendor SKU is empty, the Product SKU will be used for this vendor.","Si el SKU del proveedor está vacío, se utilizará el SKU del producto para este proveedor."
"If Vendor Cost is empty, the Product Cost will be used for this vendor.","Si el coste del proveedor está vacío, se utilizará el coste del producto para este proveedor."
"If custom stock check is used, stock quantity will be ignored.<br/>If stock quantity is 0, the product is out of stock for this vendor.<br/>If stock quantity is empty and custom stock check is NOT used, the product is always in stock for this vendor.","Si se utiliza la verificación de stock personalizada, la cantidad de stock será ignorada. <br/> Si la cantidad de stock es 0, el producto está agotado para este proveedor. <br/> Si la cantidad de stock está vacía y la verificación de stock personalizada NO se utiliza, El producto siempre está en stock para este proveedor."
Schedule,Horario
Add Schedule,Añadir programación
By default only items that do not have corresponding shipment items will be canceled,"De forma predeterminada, sólo se cancelarán los elementos que no tengan los artículos de envío correspondientes."
Nonshipped Cancel,Cancelar Cancelar
This will cancel non shipped shipments,Esto cancelará los envíos no enviados
Full Cancel,Cancelar Completa
This will cancel even shipped shipments,Esto cancelará incluso los envíos enviados
Comment Text,Texto de Comentario
Notify Vendor by Email,Notificar al proveedor por correo electrónico
Visible to Vendor,Visible para el proveedor
Notified,Notificado
Not Notified,No notificado
Such status change is not allowed. Please confirm forced transition,Este cambio de estado no está permitido. Por favor confirme la transición forzada
This will cancel purchase order and all shipments (if possible).,Esto cancelará el pedido y todos los envíos (si es posible).
This will mark as shipped purchase order and all shipments (if possible).,Esto marcará como orden de compra enviada y todos los envíos (si es posible).
Payment Information,Información del pago
The order was placed using %s,El pedido se realizó con%s
Items to Po,Artículos a Po
Qty to Po,Qty to Po
Purchase Order Comments,Comentarios de la orden de compra
Order Shipping Amount,Cantidad del pedido de envío
Total Shipping Amount,Importe total del envío
Purchase Order for %s,Orden de compra de%s
Shipping Method,Forma de envío
Shipping Amount,Cantidad del Envío
Items,Artículos
Generate Label,Generar etiqueta
Shipment Info,Información de envío
Weight:,Peso:
Value:,Valor
Declared Value,Valor declarado
Pkg. Dimensions,'PKG' Dimensiones
Length:,Duración:
Length,Longitud
Width:,Ancho:
Width,Ancho 
Height:,Altura:
Height,Altura
Package Count,Cantidad de paquetes
Reference,Referencia
Use Label Amount,Usar la cantidad de la etiqueta
Use Label Shipping Amount,Use la cantidad de envío de la etiqueta
Invoice Shipment,Envío de facturas
Mark As Shipped,Marcar como enviado
PO Sent,PO enviado
PO Canceled,PO Cancelado
Order was placed using %s,El pedido se realizó mediante%s
Purchase Order Items,Artículos de la orden de compra
Purchase Order History,Historial de órdenes de compra
Do Not Automatically Generate PO,No genera automáticamente PO
Ordered,Ordenado
Invoiced,Facturado
Refunded,Reembolsado
Links with associated products will retain only after saving current product.,Los enlaces con productos asociados se mantendrán sólo después de guardar el producto actual.
Create Simple Associated Product,Crear producto simple asociado
Super product attributes configuration,Configuración de super atributos de producto
Price values for options should be specified in system base currency.,Los valores de precio de las opciones deben especificarse en la moneda base del sistema.
Attrribute names can be specified per store.,Los nombres de Attrribute se pueden especificar por tienda.
Attribute Name:,Nombre del Atributo:
Use default,Uso por defecto
Use To Identify Image,Utilizar para identificar la imagen
Option:,Opción:
Price:,Precio:
Percentage,Porcentaje
Use Default Value,Usar valor predeterminado
Product with this combination of attributes already associated to configurable.,Producto con esta combinación de atributos ya asociados a configurable.
Image type and information need to be specified for each store view.,Es necesario especificar el tipo de imagen y la información para cada vista de almacén.
Image,Imagen
Label,Etiqueta
Exclude,Excluir
Roll Over for preview,Desplácese para obtener una vista previa
Choose an Option...,Elige una opción
No image,Sin imagen
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Este contenido requiere la última versión de Adobe Flash Player. <a href=""%s""> Obtener Flash </a>"
Turn OFF Required,Apagado Requerido
Turn ON Required,Activar requerido
Attribute,Atributo
Identify Images,Identificar imágenes
Limit by product type,Límite por tipo de producto
Simple,Sencillo
Configurable,Opciones Configurables de Sidecar
Downloadable,Descargable
Virtual,Virtual
Grouped,Agrupados
Column Title,Título de columna
Fields,Campos
Add Column,Añadir columna
Default Template SKU,Plantilla predeterminada SKU
Default Configurable Attributes,Atributos configurables predeterminados
Category,Categoría 
Allow grouped,Permitir agrupado
Allow downloadables,Permitir descargas
Allow virtual,Permitir virtual
Disallow simple,Prohibir simple
Use from template product,Uso del producto de la plantilla
Type of Product,Tipo de producto
Attribute Sets,Conjuntos de atributos
Failed,Ha fallado
Template SKU,Plantilla SKU
Configurable Attributes,Atributos configurables
Attributes Used To Identify Images,Atributos utilizados para identificar imágenes
Default Attributes Used To Identify Images,Atributos predeterminados utilizados para identificar imágenes
* Check to use default,* Comprobar para utilizar el valor predeterminado
1 star,Favorito
2 stars,"""!Estrellas¡"
3 stars,"""!Estrellas¡"
4 stars,"""!Estrellas¡"
5 stars,"""!Estrellas¡"
Please select one of each ratings above,"Por favor, seleccione una de cada una de las calificaciones anteriores"
Rating isn't Available,La calificación no está disponible
Notify Customer,Notificar al Cliente
Customer,Cliente
This will cancel shipment (if possible).,Esto cancelará el envío (si es posible).
This will mark shipment as shipped (and if possible change PO status as well).,"Esto marcará el envío como enviado (y si es posible, cambie el estado del pedido también)."
This will mark shipment as delivered (and if possible change PO status as well).,"Esto marcará el envío como entregado (y si es posible, cambie el estado del pedido también)."
Qty Shipped,Cantidad enviada
the order confirmation email was sent,Se envió el correo electrónico de confirmación del pedido
the order confirmation email is not sent,El correo electrónico de confirmación del pedido no se envía
Order Date (%s),Fecha del Pedido: {0}%s{/0}
Purchased From,Comprado de
Link to the New Order,Enlace al Nuevo Pedido
Link to the Previous Order,Enlace a la orden anterior
Placed from IP,Colocado de IP
%s / %s rate:,%S /%s tasa:
Account Information,Información de la cuenta
Date of Birth,Fecha de nacimiento
TAX/VAT Number,Número de Impuesto / IVA
Shipping Address,Dirección de envío 
If Up To,Si hasta
Use Value,Valor de uso
Amount is required,Cantidad necesaria
Region,Región
Postcode,Codigo Postal
Add Country Rows,Añadir filas de país
Incl. Tax ,IVA incl: 
Update Shipping Methods,Actualizar métodos de envío
Refresh Rates,Tarifas de actualización
Click to change shipping method,Haga clic para cambiar el método de envío
"Sorry, no quotes are available for this order at this time.","Lo sentimos, no hay opciones disponibles para este pedido en este momento."
Get shipping methods and rates,Obtener métodos y tarifas de envío
Shipping method selection is not applicable,La selección del método de envío no es aplicable
Default Commission Percent (per item),Por defecto Comisión Porcentaje (por artículo)
Default Fixed Rate (per item),Tasa fija predeterminada (por artículo)
Commission Percent (per item),Comisión Porcentaje (por artículo)
Fixed Rate (per item),Tasa fija (por artículo)
Default Fixed Rate,Tarifa fija predeterminada
Delivery Type,Tipo de Entrega
*** All ***,Todo
Custmer Group,Grupo Custmer
Add Rate,Añadir tarifa
Category vs Ship Classes,Categoría vs clases de buque
Maximum,Máximo
Default Rate,Tasa predeterminada
Base Rate,Tasa básica
Add Delivery Type,Añadir tipo de entrega
Surcharge,· Surcharge (sobrecargo)
Add Surcharge,Añadir recargo
If Condition Up To,Si la Condición Hasta
Add Condition,Añadir Condición
Conditional Rates,Tarifas Condicionales
Condition Name,Nombre de la condición
If  Condition Up To,Si la Condición Hasta
Value,Valor
Resolution notes,Resolución
Notify Customer By Email,Notificar al cliente por correo electrónico
Visible on frontend,Visible en la interfaz
Items to Return,Artículos a devolver
Condition,Condición
Qty to Return,Cantidad para volver
Return Comments,Volver Comentarios
Append Comments,Anexar comentarios
Email Copy of Return,Copia de correo electrónico de la devolución
Return Sent,Devolver Enviado
Return Sender,Devolver remitente
Return Receiver,Receptor de retorno
Return Tracking Info,Información de seguimiento de devoluciones
Return Items,Artículo (s) devuelto/s
Return History,Historial de devoluciones
Track this Return,Seguir este regreso
Print Labels,Imprimir etiquetas
Return Info,Volver Información
Customer Notes,Notas de clientes
Allow resolution notes,Permitir notas de resolución
Show Receiver To Customer,Mostrar el receptor al cliente
There are no products matching the selection.,No hay productos que coincidan con la selección.
%s %s from,%S%s desde
Add to Cart,añadir a la cesta
View Details,Ver Detalles
Add to Wishlist,Agregar a su lista de deseos
Add to Compare,Añadir a comparar
Learn More,Descubre más 
Select Vendor,Seleccione Vendedor
<strong>%s-%s</strong> of %s offers,<Strong>%s-%s </ strong> de las ofertas de%s
Sort By,Ordenar por
Price + Shipping,Precio + Envío
Seller,Vendedor
Seller Rating,Puntuaje del vendedor
Update Cart,Actualizar Carrito
Click to zoom out,Haga clic para alejar
Click to zoom in,Haga clic para ampliar
Ask A Question,Haz una pregunta
Shipment #%s for order #%s,Envío #%s para orden #%s
VENDOR,VENDEDOR
* Required Fields,*Campos obligatorios
Submit,Enviar
My Questions,Mis preguntas
Ask New Question,Hacer una nueva pregunta
Details,Detalles
ANSWER DATE,FECHA DE RESPUESTA
You have no questions.,No tienes preguntas.
Vendor Questions/Answers,Preguntas / Respuestas del Vendedor
<b>%s</b> asks vendor <b>%s</b>,<B>%s </ b> solicita al proveedor <b>%s </ b>
Answer,Responder
Not Answered yet,Aun no respondido
No questions asked yet.,Aún no hay preguntas.
Ask Vendor A Question,Pregunte al vendedor una pregunta
Your Name,Tu nombre 
Reply question #%s from %s,Responder a la pregunta #%s desde%s
* Indicated Required Fields,* Campos obligatorios indicados
"Please wait, submitting...","Por favor, espere, enviando ..."
Save,Guardad
Save And Email,Guardar y enviar correo electrónico
Return to questions list,Volver a la lista de preguntas
From Order ID,Desde ID de pedido
To Order ID,Para el ID de pedido
Question Visibility,Visibilidad de la pregunta
Any,Cualquiera
From Question Date,Desde la fecha de la pregunta
To Question Date,Hasta la fecha de la pregunta
Question,Pregunta
Is Replied,Es respondido
Reset Filter,Limpiar Filtro
Search,Búsqueda
VISIBILITY,Visibilidad:
Estimate Shipping and Tax,Envío e impuesto estimado
Enter your destination to get a shipping estimate.,Introduzca su destino para obtener un presupuesto de envío
State/Province,Provincia
"Please select region, state or province","Por favor, seleccione la región, estado o provincia"
Zip/Postal Code,Código postal
Get a Quote,Obtener una cotización
Update Total,Actualización total de
There are no vendors matching the selection.,No hay proveedores que coincidan con la selección.
Items %s to %s of %s total,Artículos%s a%s de%s total
%s Item(s),{0}%s{/0} productos
Show,Espectáculo
per page,por página
View as,Ver como
Set Ascending Direction,Configurar sentido ascendente
Set Descending Direction,Configurar sentido ascendente
Gift Message,Mensaje del Regalo
Item,Artículo
Gift Message for this Order,Mensaje de regalo para esta orden
System Sku,Sistema Sku
Select Shipping:,Seleccione el envío:
Unknown vendor,Vendedor desconocido
No Pending Reviews,No hay reseñas pendientes
No Reviews,No hay reseñas
Review by <span>%s</span>,Revisar por <span>%s </ span>
(Posted on %s),Publicado el %s
Summary of Your Review,Resumen de su reseñ
Submit Review,Enviar comentario
Please select one of each of the ratings above,Seleccione una de cada una de las calificaciones anteriores
%d Review(s),{0}%d{/0} Comentarios
Select Delivery Type to edit Rates,Seleccione tipo de entrega para editar tarifas
"Please wait, loading...",Por favor espere .... Cargando ...
Your application has been received.,Se ha recibido su solicitud.
Thank you for the registeration!,¡Gracias por la registración!
Your recurring payment profiles:,Sus perfiles de pago recurrentes:
"Payment profile # %s: ""%s"".","Perfil de pago #%s: ""%s""."
Go To Vendor Portal,Ir al Portal de proveedores
No Membership,No hay membresía
Shop description must be between %s char and %s char,La descripción de la tienda debe estar entre%s char y%s char
Become a Vendor,Conviértase en un proveedor
Register,Registro
Return to log in,volver al inicio de sesión 
Required Fixes,Correcciones requeridas
Data Changed,Datos modificados
NEW PRODUCT,Nuevo Producto
Attributes Changes,Cambios de atributos
Added configurable simple products,Añadido productos sencillos configurables
Removed configurable simple products,Se han eliminado productos simples configurables
Please upload images,Sube imágenes
Add/Edit Images,Añadir / Editar imágenes
Upload Pictures,Subir fotos
Main Image,Imagen principal.
(Type of product: %s),(Tipo de producto:%s)
Save And Continue Edit,Guardar y Continuar
Return to product list,Volver a la lista de productos
Price Value,Valor del precio
Percent,Porcentaje
Add Option Price,Añadir precio de opción
Add Another %s,Añadir otro%s
Add Other Options,Añadir otras opciones
At least one option should be added,Debe agregarse al menos una opción
Autogenerate Vendor Sku,Autogenerar Vendedor Sku
Add Configuration,Agregar configuración
Links can be purchased separately,Los enlaces se pueden adquirir por separado
Max. Downloads,Max. Descargas
Shareable,Compartible
Sample,Muestra
File,Archivo
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Los caracteres alfanuméricos, de guión y de subrayado se recomiendan para los nombres de archivo. Los caracteres incorrectos se sustituyen por \ '_ \'."
There are files that were selected but not uploaded yet. Please upload or remove them first,"Hay archivos que fueron seleccionados pero no subidos todavía. Por favor, sube o elimínalos primero"
Delete Group Price,Eliminar el precio del grupo
"At least one ""%s"" should be added","Debe añadirse al menos un ""%s"""
Add Another ,Agrega otro 
Delete Tier,Eliminar nivel
Use Config Settings,Usar configuraciones de configuración
System SKU,SKU del sistema
System Status,Estado del sistema
From Price,Desde Precio
To Price,Poner precio
From Stock Qty,Desde Stock Qty
To Stock Qty,Cantidad de existencias
Type of product: ,Tipo de producto 
Add Virtual Product,Agregar producto virtual
Add Dowloadable Product,Añadir Producto Dowloadable
Add Grouped Product,Agregar producto agrupado
Add New Product (with options),Añadir nuevo producto (con opciones)
Add New Product,Agregar nuevo producto
System ID,ID del sistema:
"This action will delete product ""%s"".","Esta acción eliminará el producto ""%s""."
My Products,Mis productos
"Promotion #%s ""%s","Promoción #%s ""%s"
Return to rules list,Volver a la lista de reglas
Date Start,fecha de inicio
From Date Start,Desde Fecha Inicio
To Date Start,A la fecha de inicio
Date Expire,Fecha de caducidad
From Date Expire,Desde la fecha de caducidad
To Date Expire,Fecha de caducidad
Add New Promotion,Agregar nueva promoción
My Promotions,Mis Promociones
Create an Account,Crear una cuenta
Personal Information,Informacion personal
Email Address,Correo electrónico
Sign Up for Newsletter,Suscríbete al boletín
Address Information,Datos del Domicilio
Company,Empresa
Street Address,Dirección
Street Address %s,Dirección de la calle%s
Login Information,Información de Login
Confirm Password,Confirmar Contraseña
Back,Atrás
Options,Opciones
#NAME?,#NOMBRE?
- Select Option -,Seleccionar opción
Additional details about Condition,Detalles adicionales sobre Condición
Your Price,Tu precio: 
#NAME?,#NOMBRE?
Allow free shipping for this product,Permitir envío gratuito para este producto
State Description,Estado Descripción
My SKU,Mi SKU
My Title,Mi título
Browse All Products,Ver todos los productos
Sell with Us,Vender con nosotros
Help,Ayuda
RSS,RSS
Monster Market,Mercado monstruo
All rights reserved.,Todos los derechos reservados.
Privacy Policy,Política de Privacidad
Terms of Use,Términos de Uso
Sell Your Product,Vender su producto
Logged in as %s,Ingresaste como {0}%1$s{/0}
Log out,Cerrar sesión
Welcome!,¡Bienvenido!
Switch To Sell Yours,Cambiar para vender suyo
Switch To My Sell List,Cambiar a mi lista de venta
Find,Encontrar
Go,Ir
Didn't find what you're looking for? <span>Create your product</span>,¿NO ENCUENTRAS LO QUE ESTABAS BUSCANDO? <Span> Crea tu producto </ span>
"Search Results for ""%s"" in category ""%s","Resultados de la búsqueda ""%s"" en la categoría ""%s"
"Browsing category ""%s","Viendo la categoría ""%s"
"Search Results for ""%s",Resultados de búsqueda para:%s
Edit My Offer,Editar mi oferta
"<span>Or,</span> Browse by Category","<Span> O, </ span> Búsqueda por categoría"
Didn't find what you're looking for?,¿NO ENCUENTRAS LO QUE ESTABAS BUSCANDO?
Create your product,Cree su producto
Tracking Information,Información de seguimiento
Close Window,Cerrar
RMA #,RM
Tracking Number:,Número de seguimiento
Carrier:,Proveedor de seguros:
Error:,Error:
Tracking information is currently not available. Please ,La información de seguimiento no está disponible actualmente. Por favor 
contact us,contáctenos
 for more information or ,Para más información o 
email us at ,Envíanos un email a : 
Info:,Información:
Track:,Trayectoria:
Delivered on:,Entregado en:
Signed by:,FIRMADO POR
Delivered to:,Entregado a:
Shipped or billed on:,Enviado o facturado el:
Service Type:,tipo de servicio
Local Time,Hora local
There is no tracking available for this shipment.,No hay seguimiento disponible para este envío.
There is no tracking available.,No hay seguimiento disponible.
From Order Date,Desde la fecha del pedido
To Order Date,Para ordenar la fecha
From RMA ID,De ID de RMA
To RMA ID,A RMA ID
From RMA Date,De RMA Fecha
To RMA Date,A RMA Fecha
Direction,Dirección
Reason,Motivo
