Download Labels,Etiketten herunterladen
Product name is invalid,Produktname ist ungültig
Product has been saved,Produkt wurde gespeichert
Vendor Products Edit,Vendor Products Bearbeiten
Use custom product zoom on frontend,Verwenden Sie benutzerdefinierte Produkt-Zoom auf Frontend
Preselect configurable options,Prüfen Sie die konfigurierbaren Optionen
Allow vendor delete products,"Ermöglichen Sie Lieferanten, Produkte zu löschen"
Upload images into configrable simples,Laden Sie Bilder in einwandfreie Bilder hoch
Explicitly show media gallery in configurable product,Zeigen Sie explizit die Mediengalerie in konfigurierbarem Produkt an
Gallery upload is required,Galerie-Upload ist erforderlich
Allow add/edit custom options,Benutzerdefinierte Optionen hinzufügen / bearbeiten
Show vendor sku column in vendor portal products edit grid,Verkäufer anzeigen sku Spalte in Vendor Portal Produkte bearbeiten Raster
Type of product,Produkttyp
Create type of products here and group attribute sets per type of product,Erstellen Sie hier Produkte und Gruppenattributsätze pro Produkttyp
Prefix vendor created products' SKUs with vendor id,Präfix-Hersteller erstellt Produkte 'SKUs mit Vendor ID
Automatically generate SKUs of vendor created products,Automatische Erstellung von SKUs von vom Hersteller erstellten Produkten
Check vendor SKU is unique within vendor products,Check-Anbieter SKU ist innerhalb von Lieferantenprodukten einzigartig
Unpublish vendor product on following changes,Veröffentlichen Sie das Herstellerprodukt bei folgenden Änderungen
Show hidden categories to vendor if the field presented on product edit form,"Zeigen Sie versteckte Kategorien an Anbieter an, wenn das Feld auf dem Produktformular angezeigt wird"
Allowed types of product,Erlaubte Produkttypen
"Disable product name ""is empty"" check","Deaktivieren Sie den Produktnamen ""ist leer"""
"For some languages might not work (e.g. Arabic). In that case select ""Yes""","Für einige Sprachen kann es nicht funktionieren (zB Arabisch). Wählen Sie in diesem Fall ""Ja"""
Notifications,Benachrichtigungen
Send vendor pending products notifications,Verkäufer anstehende Produktbenachrichtigungen senden
Pending Products Vendor Notification Template,Ausstehende Produkte Vendor Notification Template
Send admin pending products notifications,Senden Sie admin ausstehende Produkte Benachrichtigungen
Pending Products Admin Notification Template,Ausstehende Produkte Admin Benachrichtigungsvorlage
Send vendor approved products notifications,Senden von Lieferanten zugelassenen Produktbenachrichtigungen
Approved Products Vendor Notification Template,Zugelassene Produkte Vendor Notification Template
Send admin approved products notifications,Senden Sie admin genehmigte Produkte Benachrichtigungen
Approved Products Admin Notification Template,Zugelassene Produkte Admin Benachrichtigungsvorlage
Send vendor fix products notifications,Senden Sie Hersteller-Fix-Produktbenachrichtigungen
Fix Products Vendor Notification Template,Fix Produkte Vendor Benachrichtigung Vorlage
Send admin fix products notifications,Senden Sie admin fix Produkte Benachrichtigungen
Fix Products Admin Notification Template,Fix Produkte Admin Benachrichtigungsvorlage
"Select Type of Product to load setting in ""Product SKUs used as templates""","Wählen Sie Art des Produkts zum Laden der Einstellung in ""Produkt-SKUs als Vorlagen verwendet"""
Vendor Product Edit Form,Vendor Produkt Bearbeitungsformular
Add Product Options Layout,Produktoptionen hinzufügen
Configurable Attributes Layout,Konfigurierbares Attributlayout
Configurable Attributes Column Title,Konfigurierbare Attribute Spaltentitel
"Applicable only if ""Configurable Attributes"" Layout is ""One Column""","Gilt nur, wenn ""Konfigurierbare Attribute"" Layout ""Eine Spalte"""
Columns,Spalten
Stock Data,Bestandsdaten
"Vendor SKU ""%s"" is already used","Vendor SKU ""%s"" wird bereits verwendet"
In Stock,auf Lager
Out of Stock,Nicht auf Lager
Stock Item Fields,Stock Item Felder
Categories,Kategorien
Manage Stock,Bestand verwalten
Qty for Item\'s Status to Become Out of Stock,"Menge für Item \ 's Status, um nicht auf Lager zu sein"
Minimum Qty Allowed in Shopping Cart,Mindestmenge im Warenkorb
Maximum Qty Allowed in Shopping Cart,Maximale Anzahl im Warenkorb
Vendor SKU ,Lieferant SKU 
Vendor Stock Qty ,Vendor Stock Menge 
Vendor Cost ,Lieferantenkosten 
Vendor Status ,Vendor Status 
Vendor Backorders ,Kreditorenrückstände 
Vendor Price ,Vendor Preis 
Vendor Group Price ,Vendor Group Preis 
Vendor Tier Price ,Vendor Tier Preis 
Vendor Special Price ,Vendor Sonderpreis 
Vendor Special From Date ,Vendor Special ab Datum 
Vendor Special To Date ,Vendor Special zum Datum 
Vendor Free Shipping ,Verkäufer Freies Verschiffen 
Vendor Shipping Price ,Vendor Versandpreis 
Vendor State(Condition) ,Verkäufer Zustand (Zustand) 
Vendor State Description ,Vendor State Beschreibung 
Vendor Title ,Vendor Titel 
State (Condition),Zustand (Zustand)
State description,Zustandsbeschreibung
Group Price,Konzernpreis
Tier Price,Tierpreis
Vendor Special Price,Vendor Sonderpreis
Vendor Special From Date,Vendor Special ab Datum
Vendor Special To Date,Vendor Special zum Datum
Is Free Shipping,Ist freies Verschiffen
Vendor Backorders,Kreditorenrückstände
"SKU ""%s"" is already used","SKU ""%s"" wird bereits verwendet"
Removed Image(s),Entferntes Bild (e)
Added Image(s),Bild (e) hinzugefügt
Fix,Fix 
Discard,Verwerfen
Vacation,Ferien
Suspended,Eingestellt
-- Please Select --,--Bitte auswählen--
Yes and hide per option upload,Ja und verstecke pro Option hochladen
One Column,Eine säule
Separate Columns,Separate Spalten
None,Keiner 
New Product,Neues Produkt
Image Added,Bild hinzugefügt
Image Removed,Bild entfernt
Configurable Simple Added,Konfigurierbar Einfache Hinzufügung
Configurable Simple Removed,Konfigurierbar Einfache Entfernt
Attribute Value Changed,Attributwert geändert
Stock Changed,Lager geändert
Custom Options Changed,Benutzerdefinierte Optionen geändert
* None *,(Keine)
* All *,Alle
Out of stock,Nicht Vorrätig
In stock,auf Lager
Published,Veröffentlicht
Under Review,Unter Überprüfung
Description,Beschreibung
Uses per Coupon,Verwendungen pro Coupon
Uses per Customer,Verwendungen pro Kunde
Usage limit enforced for logged in customers only,Benutzungsgrenze für angemeldeten Kunden nur erzwungen
Coupon,Gutschein
Coupon Code,Gutscheincode
Use Auto Generation,Verwenden Sie Auto Generation
If you select and save the rule you will be able to generate multiple coupon codes.,"Wenn Sie die Regel auswählen und speichern, können Sie mehrere Gutscheincodes generieren."
Conditions [Apply the rule only if the following conditions are met (leave blank for all products)],"Bedingungen [gelten nur dann, wenn die folgenden Bedingungen erfüllt sind (für alle Produkte leer lassen)]"
Conditions,Bedingungen
Actions,Aktionen
Apply,anwenden
Percent of product price discount,Prozent des Produktpreises
Fixed amount discount,Fester Betrag Rabatt
Fixed amount discount for whole cart,Fester Betrag Rabatt für den ganzen Wagen
Buy X get Y free (discount amount is Y),Kaufen Sie X erhalten Y frei (Rabatt Betrag ist Y)
Discount Amount,Aktionsmenge
Maximum Qty Discount is Applied To,Maximale Menge Rabatt wird angewendet
Discount Qty Step (Buy X),Rabatt Menge Schritt (Kauf X)
Apply to Shipping Amount,Auf Versandmenge anwenden
Free Shipping,Kostenloser Versand
For matching items only,Nur für passende Artikel
For shipment with matching items,Für den Versand mit passenden Artikeln
Actions Filter [Apply the rule only to cart items matching the following conditions (leave blank for all items)],"Aktionen Filter [Die Regel nur auf Wagenposten anwenden, die den folgenden Bedingungen entsprechen (für alle Artikel leer lassen)]"
Apply To,Gelten
Coupons,Gutscheine
Coupons Information,Gutscheininformationen
Coupon Qty,Coupon Menge
Code Length,Code Länge
"Excluding prefix, suffix and separators.","Ausschluss von Präfix, Suffix und Separatoren."
Code Format,Codeformat
Code Prefix,Code-Präfix
Code Suffix,Code-Suffix
Dash Every X Characters,Dash jedes X Zeichen
If empty no separation.,Wenn leer keine Trennung.
Wrong rule specified.,Falsche Regel angegeben.
The rule has been saved.,Die Regel wurde gespeichert.
An error occurred while saving the rule data. Please review the log and try again.,Beim Speichern der Regeldaten ist ein Fehler aufgetreten. Bitte überprüfen Sie das Protokoll und versuchen Sie es erneut.
Rating Title,Bewertung Titel
Is Aggregatable,Ist aggregierbar
Default Value,Standartwert
Rating Visibility,Bewertung Sichtbarkeit
Visible In,Sichtbar in
"If you do not specify a rating title for a store, the default value will be used.","Wenn Sie keinen Bewertungstitel für einen Speicher angeben, wird der Standardwert verwendet."
Assigned Options,Zugewiesene Optionen
Option Label,Optionsschild
Rating Information,Rating-Informationen
Rating Options,Bewertungsoptionen
Save Rating,Bewertung speichern
Delete Rating,Löschen des Ratings
Edit Rating,Rating bearbeiten
New Rating,Neues Rating
Rating Name,Rating Name
Manage Ratings,Bewertungen
Add New Rating,Neue Bewertung hinzufügen
Review Details,Bewertung Details
Summary Rating,Zusammenfassung Bewertung
Detailed Rating,Detaillierte Bewertung
Detailed Non-Aggregatable Rating,Detaillierte nicht aggregierbare Bewertung
Nickname,Benutzername
Summary of Review,Zusammenfassung der Überprüfung
Review,Überprüfung
Save Review,Bewertung schreiben
Delete Review,Bewertung löschen
Edit Review '%s,Beitrag bearbeiten '%s
New Review,Neue Bewertung
Created On,Erstellt am
Product Name,Produktname
Product SKU,Artikel-Nr.
Update Status,Update Status
Pending Vendor Reviews of Customer `%s`,Pending Vendor Bewertungen von Kunden `%s`
Pending Vendor Reviews,Pending Vendor Bewertungen
All Vendor Reviews of Customer `%s`,Alle Vendor Bewertungen von Kunden `%s`
All Vendor Reviews,Alle Vendor Bewertungen
Rating with %s id not found,Bewertung mit%s id nicht gefunden
The rating has been saved.,Die Bewertung wurde gespeichert.
The rating has been deleted.,Die Bewertung wurde gelöscht.
Reviews and Ratings,Bewertungen und Bewertungen
Edit Vendor Review,Vendor Review bearbeiten
Customer Reviews,Kundenbewertungen
The review was removed by another user or does not exist.,Die Überprüfung wurde von einem anderen Benutzer entfernt oder existiert nicht.
The review has been saved.,Die Überprüfung wurde gespeichert.
The review has been deleted,Die Überprüfung wurde gelöscht
Please select review(s).,Bitte wählen Sie die Bewertung (en).
An error occurred while updating the selected review(s).,Beim Aktualisieren der ausgewählten Überprüfung (s) ist ein Fehler aufgetreten.
Unable to get the product ID.,Kann die Produkt-ID nicht abrufen.
My Vendor Pending Reviews,Mein Vendor Pending Bewertungen
My Vendor Reviews,Mein Vendor Bewertungen
Review not allowed.,Bewertung nicht erlaubt.
Your review has been accepted for moderation.,Ihre Bewertung wurde zur Moderation akzeptiert.
Unable to post the review.,Die Überprüfung konnte nicht veröffentlicht werden.
You have already voted on this review!,Sie haben schon über diese Bewertung gestimmt!
Your voice has been accepted. Thank you!,Ihre Stimme wurde akzeptiert. Vielen Dank!  
Review was not found!,Bewertung wurde nicht gefunden!
"Unable to vote. Please, try again later.",Kann nicht abstimmen. Bitte versuchen Sie es später wieder.
Reviews for vendor %s,Bewertungen für vendor%s
Pending Reviews,Ausstehende Bewertungen
All Reviews,Alle Bewertungen
Vendor Rating Options,Vendor Rating Optionen
Allow customer review on the following statuses,Erlauben Sie Kundenbeurteilung auf folgenden Status
"Delay in days to send ""Email notification / Follow up emails""","Verzögerung in Tagen zu senden ""E-Mail-Benachrichtigung / Follow-up-E-Mails"""
"Setup delay in days when to send ""Email notification / Follow up emails"" to inspire customer review vendor shipments. Separate multiple days with comma "","". This will allow arbitrary days to send email notification and further follow up emails.","Setup Verzögerung in Tagen, wenn zu senden ""E-Mail-Benachrichtigung / Follow-up-E-Mails"" zu begeistern Kundenrezension Lieferanten Sendungen. Trennen Sie mehrere Tage mit Komma "","". Dies ermöglicht es, beliebige Tage per E-Mail-Benachrichtigung zu senden und weitere E-Mails zu verfolgen."
Rating with the same title,Bewertung mit dem gleichen Titel
Vendor Reviews,Vendor Bewertungen
Allow customers review/rate vendor,Kunden einlösen / bewerten
entity_id=%s is already used in rating/rating_entity. Change it in %s.,Entity_id =%s wird bereits in rating / rating_entity verwendet. Ändern Sie es in%s.
entity_id=%s is already used in review/review_entity. Change it in %s.,Entity_id =%s wird bereits in der Überprüfung / review_entity verwendet. Ändern Sie es in%s.
Customer Tax Class Information,Kundensteuer-Klasseninformationen
Vendor Tax Class Information,Vendor Tax Class Informationen
Product Tax Class Information,Produktsteuererklasse
Product Tax Classes,Artikel Steuerklassen
Add New Class,Neue Klasse hinzufügen
Customer Tax Classes,Kunden Steuergruppen
Vendor Tax Classes,Vendor Steuerklassen
Tax Rule Information,Steuerregelinformationen
Customer Tax Class,Kundensteuer-Klasse
Product Tax Class,Produktsteuerklasse
Vendor Tax Class,Vendor Tax Class
Tax Rate,Steuersatz 
"Tax rates at the same priority are added, others are compounded.","Steuersätze bei gleicher Priorität werden hinzugefügt, andere werden zusammengesetzt."
There was an error while updating vendor(s) type,Beim Aktualisieren des Herstellers (s) ist ein Fehler aufgetreten
You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.,"Sie können diese Steuerklasse nicht löschen, wie sie in Steuerregeln verwendet wird. Sie müssen die Regeln löschen, die es zuerst verwendet hat."
You cannot delete this tax class as it is used for %d vendors.,"Sie können diese Steuerklasse nicht löschen, da sie für%d Anbieter verwendet wird."
The tax class has been deleted.,Die Steuerklasse wurde gelöscht.
An error occurred while deleting this tax class.,Beim Löschen dieser Steuerklasse ist ein Fehler aufgetreten.
Manage Vendor Tax Classes,Vendor Steuerklassen verwalten
"Rules (%s) already exist for the specified Tax Rate, Customer Tax Class and Product Tax Class combinations","Regeln (%s) existieren bereits für die angegebenen Steuersatz-, Kundensteuer-Klasse und Produkt-Steuerklasse Kombinationen"
Change Vendor Tax Class,Ändern Sie die Kreditorenklasse
Submit Return,Zurückgeben
Submit Shipment,Sendung senden
New Return for Order #%s,Neue Rückgabe für Auftrag #%s
Return #,Rückkehr
Return Created,Rückkehr erstellt
Shipper Name,Absender Name
Tracking Price,Tracking Preis
Return View,Rückblick
uReturn #%1$s | %2$s,UReturn #%1$s | %2$s
uReturns,UReturns
Invalid entity model,Ungültiges Entitätsmodell
Order # %s,Bestellungen
About Your Return,Über deine Rückkehr
This Return no longer exists.,Diese Rückkehr besteht nicht mehr.
The order no longer exists.,Die Bestellung existiert nicht mehr.
The Return has been created.,Die Rückgabe wurde erstellt.
New Return,Neue Rückkehr
View Return,Ansicht Rückkehr
Wrong generate label request.,Falsche generieren Label Anfrage.
Cannot initialize rma for adding tracking number.,Kann nicht rma zum Hinzufügen von Tracking-Nummer initialisieren.
Cannot add tracking number.,Kann keine Tracking-Nummer hinzufügen.
Cannot initialize rma.,Kann nicht mma initialisieren
Cannot printf label.,Kann nicht drucken.
The carrier needs to be specified.,Der Träger muss angegeben werden.
Tracking number cannot be empty.,Tracking-Nummer kann nicht leer sein.
Cannot initialize rma for delete tracking number.,Kann nicht rma zum Löschen der Tracking-Nummer initialisieren.
Cannot delete tracking number.,Die Tracking-Nummer kann nicht gelöscht werden.
Cannot load track with retrieving identifier.,Kann keine Spur mit dem Abrufen der Kennung laden.
Cannot retrieve tracking number detail.,Das Tracking-Nummern-Detail kann nicht abgerufen werden.
uReturn,UReturn
RMA status has been changed,Der RMA-Status wurde geändert
Cannot change RMA status,Der RMA-Status kann nicht geändert werden
Your comment has been sent,Dein Kommentar wurde gesendet
No RMAs found for these criteria,Für diese Kriterien wurden keine RMAs gefunden
RMA status has been updated,Der RMA-Status wurde aktualisiert
New uReturn,Neue uReturn
uReturn Update,UReturn Update
Returns,Rücksendungen
Returns Email Sender,Rückgespräch E-Mail-Absender
Returns Email Template,Gibt E-Mail-Vorlage zurück
Send Returns Email Copy To,Senden Rücksendungen Email Kopieren an
Comma-separated.,Komma getrennt.
Send Returns Email Copy Method,Senden Rücksendungen Email Kopie Methode
uReturns Comments,UReturns Kommentare
Returns Comment Email Sender,Rückkehr Kommentar E-Mail Absender
Returns Comment Email Template,Rückgespräch Kommentar Email Vorlage
Send Returns Comment Email Copy To,Senden Rücksendungen Bemerkung Email Kopie an
New RMA Vendor Notification Email Template,Neue RMA Vendor Benachrichtigung E-Mail-Vorlage
RMA Comment Vendor Notification Email Template,RMA Kommentar Vendor Benachrichtigung Email Vorlage
Hide order information from customer on existing RMA page,Verbergen Sie die Bestellinformationen vom Kunden auf der vorhandenen RMA-Seite
"Hide order information from customer on ""Request New RMA"" page","Verbergen Sie Auftragsinformationen vom Kunden auf ""Anfrage neue RMA"" Seite"
Statuses,Status
Reasons to return,Gründe für die Rückkehr
Item Conditions,Artikelbedingungen
Customer success,Kundenerfolg
Customer no items selected,Kunde keine Artikel ausgewählt
"Customer instructions on ""Request New RMA"" page","Kundenanweisungen auf der Seite ""Neue RMA anfordern"""
Create uReturn,Erstellen Sie uReturn
"Invalid qty to create rma for item ""%s","Ungültige Menge, um rma für item ""%s zu erstellen"
"No detail for number ""%s","Kein Detail für die Nummer ""%s"
Cannot register existing rma,Die vorhandene rma kann nicht registriert werden
Cannot create an empty rma.,Kann kein leeres rma erstellen
Global,Weltweit
RMA ID,RMA ID
RMA Date,RMA Datum
RMA Status,RMA Status
Reason to return,Grund zur Rückkehr
Origin,Ursprung
Title/Sort Order,Titel / Sortierung
Template,Vorlage
Header,Kopfzeile
Item Separate Template,Einzelteil getrennte Schablone
Totals Template,Totals Vorlage
Use Item Separate Template,Verwenden Sie Item Separate Template
Footer Separate Template,Footer Separate Vorlage
Remove,Entfernen
Add Template,Vorlage hinzufügen
Billing,Rechnung
Limits,Einschränkungen
Code:,Code
Title:,Titel:
Billing Type:,Abrechnungsart:
Offline (Manual),Offline (Handbuch)
Auto (Paypal Express),Auto (Paypal Express)
Product SKU:,Artikel-Nr.
Limit Products:,Produkte einschränken:
Allow Microsite:,Microsite erlauben:
Show On Registration Form:,Auf Anmeldeformular anzeigen:
Add Membership Type,Mitgliedschaft hinzufügen
Fieldset Title/Sort Order,Fieldset Titel / Sortierreihenfolge
Top/Bottom wide fields,Top / Bottom breite Felder
Left/Right column fields,Links / Rechts Spaltenfelder
Top Wide Fields,Top Wide Fields
Bottom Wide Fields,Bottom Wide Fields
Left Column Fields,Linke Spaltenfelder
Right Column Fields,Rechte Spaltenfelder
Add Fieldset,Feldset hinzufügen
Field,Feld 
Is Required,ist erforderlich
Use custom label,Verwenden Sie benutzerdefinierte Beschriftung
Has URL,Hat URL
Add Field,Feld hinzufügen
Row Subtotal,Zeile Zwischensumme
Gift,Geschenk
No ordered items,Keine bestellten Artikel
Update Items and Qty\'s,Aktualisieren Sie Items und Qty \ 's
Total %d product(s),Gesamt%d Produkt (e)
Subtotal:,Zwischensumme 
Excl. Tax,Exkl. Steuer 
Incl. Tax,Inkl. MwSt.
Total incl. tax,Gesamt inkl. Steuer
Tier Pricing,Tier Preisgestaltung
Custom Price,Sonderpreis
Move to Shopping Cart,Zum Warenkorb hinzufügen
Move to Wishlist,Auf Wunschliste setzen
This product has not been configured.,Dieses Produkt wurde nicht konfiguriert.
Save Vendor Updates,Vendor Updates speichern
Check Vendors Stock,Check Vendors Stock
Are you sure you want to change the vendors and send notifications?,"Sind Sie sicher, dass Sie die Verkäufer wechseln und Benachrichtigungen senden möchten?"
No stock available,Kein Lager verfügbar
Customer Group,Kundengruppe
All Websites,auf allen Websites erscheint
Add Group Price,Gruppenpreis hinzufügen
QTY,Menge
ALL GROUPS,Alle Gruppen
and above,und darüber
Add Tier Price,Tierpreis hinzufügen
Add Vendor,Vendor hinzufügen
Drop Shipping Vendor Associations,Drop Shipping Vendor Verbände
Price/Cost,Preis Kosten
Availability,Verfügbarkeit
Status/State(Condition),Status / Zustand (Zustand)
Vendor Price:,Vendor Preis:
Cost:,Kosten:
Vendor Special Price:,Vendor Sonderpreis:
Special From Date:,Spezial ab Datum:
Special To Date:,Spezielles Datum:
Free Shipping:,kostenloser Versand
Shipping Price:,Versandkosten
Group Price:,Gruppenpreis:
Tier Price:,Tier Preis:
Backorders:,Rückstände:
State:,Status:
Date:,Datum:
Status:,Status:
State(Condition):,Zustand (Zustand):
State Description:,Zustandsbeschreibung
Tips:,Tipps:
"If the same vendor is selected multiple times, only the first occurence will be saved","Wenn der gleiche Anbieter mehrfach ausgewählt wird, wird nur der erste Vorkommen gespeichert"
"If Vendor SKU is empty, the Product SKU will be used for this vendor.","Wenn Vendor SKU leer ist, wird die Produkt-SKU für diesen Lieferanten verwendet."
"If Vendor Cost is empty, the Product Cost will be used for this vendor.","Wenn die Kosten des Verkäufers leer sind, werden die Produktkosten für diesen Lieferanten verwendet."
"If custom stock check is used, stock quantity will be ignored.<br/>If stock quantity is 0, the product is out of stock for this vendor.<br/>If stock quantity is empty and custom stock check is NOT used, the product is always in stock for this vendor.","Wenn die Bestandskontrolle verwendet wird, wird die Bestandsmenge ignoriert. <br/> Wenn die Lagermenge 0 ist, ist das Produkt für diesen Verkäufer nicht auf Lager. <br/> Wenn die Lagermenge leer ist und die kundenspezifische Bestandskontrolle NICHT verwendet wird, Das Produkt ist immer auf Lager für diesen Verkäufer."
Schedule,Zeitplan
Add Schedule,Zeitplan hinzufügen
By default only items that do not have corresponding shipment items will be canceled,"Standardmäßig werden nur Elemente, die keine entsprechenden Sendungspositionen haben, storniert"
Nonshipped Cancel,Nicht ausgegebenes Abbrechen
This will cancel non shipped shipments,Dies wird die nicht versandten Sendungen stornieren
Full Cancel,Abbrechen
This will cancel even shipped shipments,Dies wird auch versendet Sendungen
Comment Text,Kommentartext
Notify Vendor by Email,Benachrichtigen Sie den Verkäufer per Email
Visible to Vendor,Sichtbar für den Verkäufer
Notified,Benachrichtigt
Not Notified,Nicht benachrichtigt
Such status change is not allowed. Please confirm forced transition,Eine solche Statusänderung ist nicht erlaubt. Bitte bestätigen Sie den Zwangsübergang
This will cancel purchase order and all shipments (if possible).,Dies storniert die Bestellung und alle Sendungen (wenn möglich).
This will mark as shipped purchase order and all shipments (if possible).,Dies markiert als versandte Bestellung und alle Sendungen (wenn möglich).
Payment Information,Zahlungsinformationen
The order was placed using %s,Die Bestellung wurde mit%s platziert
Items to Po,Artikel zu Po
Qty to Po,Menge zu Po
Purchase Order Comments,Kaufbezeichnung Kommentare
Order Shipping Amount,Bestellmenge bestellen
Total Shipping Amount,Gesamtzahl der Versandkosten
Purchase Order for %s,Bestellung für%s
Shipping Method,Versandmethode
Shipping Amount,Versandbetrag
Items,Artikel
Generate Label,Label generieren
Shipment Info,Versandinformationen
Weight:,Gewicht:
Value:,Wert:
Declared Value,Angegebener Wert
Pkg. Dimensions,Pkg/10 Maße
Length:,Länge:
Length,Länge 
Width:,Breite:
Width,Breite
Height:,Höhe:
Height,Höhe 
Package Count,Paketzähler
Reference,Referenz 
Use Label Amount,Etikettenmenge verwenden
Use Label Shipping Amount,Verwenden Sie Etiketten-Versandbetrag
Invoice Shipment,Rechnung Versand
Mark As Shipped,Als verschickt markieren
PO Sent,PO gesendet
PO Canceled,PO abgebrochen
Order was placed using %s,Auftrag wurde mit%s platziert
Purchase Order Items,Bestellpositionen
Purchase Order History,Bestellhistorie
Do Not Automatically Generate PO,Nicht automatisch generieren PO
Ordered,Bestellt
Invoiced,Fakturiert
Refunded,Zurückerstattet
Links with associated products will retain only after saving current product.,Links mit zugehörigen Produkten bleiben nur nach dem Speichern des aktuellen Produkts erhalten.
Create Simple Associated Product,Erstellen Sie einfaches assoziiertes Produkt
Super product attributes configuration,Super Produktattribute Konfiguration
Price values for options should be specified in system base currency.,Preiswerte für Optionen sollten in der Systembasiswährung angegeben werden.
Attrribute names can be specified per store.,Attrribute-Namen können pro Speicher angegeben werden.
Attribute Name:,Attributname:
Use default,Standard verwenden
Use To Identify Image,"Verwenden Sie, um das Bild zu identifizieren"
Option:,Option
Price:,Preis:
Percentage,Prozentsatz 
Use Default Value,Standardwert verwenden
Product with this combination of attributes already associated to configurable.,"Produkt mit dieser Kombination von Attributen, die bereits konfigurierbar sind."
Image type and information need to be specified for each store view.,Bildtyp und Informationen müssen für jede Speicheransicht angegeben werden.
Image,Bild 
Label,Etikett
Exclude,Ausschließen
Roll Over for preview,Roll Over für Vorschau
Choose an Option...,Wählen Sie eine Option.
No image,Kein Bild
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Dieser Inhalt benötigt die letzte Version von Adobe Flash Player. <a href=""%s""> Get Flash </a>"
Turn OFF Required,Ausschalten erforderlich
Turn ON Required,Einschalten erforderlich
Attribute,Attribut
Identify Images,Bilder identifizieren
Limit by product type,Begrenzung nach Produktart
Simple,Einfach
Configurable,Konfigurierbar
Downloadable,Zum Herunterladen
Virtual,Virtual
Grouped,Gruppiert
Column Title,Spaltentitel
Fields,Felder
Add Column,Spalte hinzufügen
Default Template SKU,Standardvorlage SKU
Default Configurable Attributes,Default Konfigurierbare Attribute
Category,Kategorie 
Allow grouped,Gruppiert zulassen
Allow downloadables,Ladevorgänge zulassen
Allow virtual,Virtuell zulassen
Disallow simple,Einfach nicht zulassen
Use from template product,Verwendung von Vorlagenprodukt
Type of Product,Produkttyp
Attribute Sets,Attribut-Sets
Failed,Fehlgeschlagen
Template SKU,Vorlage SKU
Configurable Attributes,Konfigurierbare Attribute
Attributes Used To Identify Images,Attribute zur Identifizierung von Bildern
Default Attributes Used To Identify Images,Default-Attribute zum Identifizieren von Bildern
* Check to use default,"* Überprüfen Sie, um Standard zu verwenden"
1 star,Stern
2 stars,Sterne
3 stars,Sterne
4 stars,Sterne
5 stars,Sterne
Please select one of each ratings above,Bitte wählen Sie eine der oben genannten Bewertungen aus
Rating isn't Available,Rating ist nicht verfügbar
Notify Customer,Kunden benachrichtigen
Customer,Kunde 
This will cancel shipment (if possible).,Dies wird den Versand abbrechen (wenn möglich).
This will mark shipment as shipped (and if possible change PO status as well).,Dies markiert den Versand als ausgeliefert (und ggf. auch den PO-Status ändern).
This will mark shipment as delivered (and if possible change PO status as well).,Dies markiert den Versand als ausgeliefert (und ggf. auch den PO-Status ändern).
Qty Shipped,Menge verschickt
the order confirmation email was sent,Die Auftragsbestätigungs-E-Mail wurde gesendet
the order confirmation email is not sent,Die Bestellbestätigungs-E-Mail wird nicht gesendet
Order Date (%s),Bestelldatum (%s)
Purchased From,Gekauft von
Link to the New Order,Link zur neuen Bestellung
Link to the Previous Order,Link zur vorherigen Bestellung
Placed from IP,Aus IP gelegt
%s / %s rate:,%S /%s Rate:
Account Information,Kontoinformationen
Date of Birth,Geburtsdatum
TAX/VAT Number,Umsatzsteuer-Identifikationsnummer
Shipping Address,Versandadresse 
If Up To,Wenn bis zu
Use Value,Wert verwenden
Amount is required,Betrag ist erforderlich
Region,Region 
Postcode,Postleitzahl
Add Country Rows,Landreihen hinzufügen
Incl. Tax ,Inkl. MwSt. 
Update Shipping Methods,Aktualisiere Versandmethoden
Refresh Rates,Preise aktualisieren
Click to change shipping method,"Klicken Sie hier, um die Versandart zu ändern"
"Sorry, no quotes are available for this order at this time.",Leider stehen keine Angaben über Liefergebühren für diese Bestellung zu diesem Zeitpunkt zur Verfügung.
Get shipping methods and rates,Holen Sie sich Versandmethoden und Preise
Shipping method selection is not applicable,Versandmethodenauswahl gilt nicht
Default Commission Percent (per item),Standardkommission Prozent (pro Stück)
Default Fixed Rate (per item),Default Fixed Rate (pro Stück)
Commission Percent (per item),Kommission Prozent (pro Stück)
Fixed Rate (per item),Festpreis (pro Stück)
Default Fixed Rate,Default Fixed Rate
Delivery Type,Lieferart
*** All ***,Alle
Custmer Group,Custmer Group
Add Rate,Rate hinzufügen
Category vs Ship Classes,Kategorie vs Schiffsklassen
Maximum,Maximal
Default Rate,Ausfallquote
Base Rate,Grungebühr
Add Delivery Type,Lieferart hinzufügen
Surcharge,Zuschlag
Add Surcharge,Zuschlag hinzufügen
If Condition Up To,Wenn Bedingung bis zu
Add Condition,Fürge Bedingung hinzu
Conditional Rates,Bedingte Preise
Condition Name,Zustand Name
If  Condition Up To,Wenn Bedingung bis zu
Value,Wert 
Resolution notes,Auflösungshinweise
Notify Customer By Email,Benachrichtigen Sie den Kunden per Email
Visible on frontend,Sichtbar auf Frontend
Items to Return,Gegenstände zurückzukehren
Condition,Bedingung
Qty to Return,Menge zurückzukehren
Return Comments,Rückkehr Kommentare
Append Comments,Kommentare hinzufügen
Email Copy of Return,E-Mail Kopie der Rückgabe
