Download Labels,Scarica Etichette
Actions Filter [Apply the rule only to cart items matching the following conditions (leave blank for all items)],Azioni filtro [applicare la regola solo al carrello oggetti corrispondenti alle seguenti condizioni (Lascia in bianco per tutti gli elementi)]
Apply To,Applica a
Coupons,coupons
Coupons Information,Buoni Informazioni
Coupon Qty,Coupon Quantità
Code Length,Codice Lunghezza
"Excluding prefix, suffix and separators.","Escludendo il prefisso, il suffisso e separatori."
Code Format,Formato codice
Code Prefix,Codice prefisso
Code Suffix,Codice suffisso
Dash Every X Characters,Dash Ogni X Questi caratteri
If empty no separation.,Se vuoto nessuna separazione.
Wrong rule specified.,regola sbagliata specificato.
The rule has been saved.,La regola è stata salvata.
An error occurred while saving the rule data. Please review the log and try again.,Si è verificato un errore durante il salvataggio dei dati della regola. Si prega di rivedere il registro e riprovare.
Rating Title,Valutazione Titolo
Is Aggregatable,è Aggregatable
Default Value,Valore predefinito
Rating Visibility,Valutazione Visibilità
Visible In,In visibili
"If you do not specify a rating title for a store, the default value will be used.","Se non si specifica un titolo voto per un negozio, verrà utilizzato il valore predefinito."
Assigned Options,Opzioni assegnate
Option Label,opzione Label
Rating Information,Informazioni Valutazione
Rating Options,Voto Opzioni
Save Rating,Salva Valutazione
Delete Rating,Elimina valutazione
Edit Rating,Modifica Valutazione
New Rating,Nuova valutazione
Rating Name,Ospiti Nome
Manage Ratings,gestire Valutazioni
Add New Rating,Aggiungi nuovo Valutazione
Review Details,Mostra i dettagli
Summary Rating,Riassunto punteggio
Detailed Rating,Valutazione in dettagli
Detailed Non-Aggregatable Rating,Dettagliata non Aggregatable Valutazione
Nickname,Soprannome
Summary of Review,Riassunto delle Review
Review,Recensione
Save Review,Salva revisione
Delete Review,Eliminare Review
Edit Review '%s,Modifica Review '%s
New Review,nuova recensione
Created On,Creato
Product Name,Nome del prodotto
Product SKU,SKU del prodotto.
Update Status,Aggiorna stato
Pending Vendor Reviews of Customer `%s`,In attesa Venditore Recensioni di clienti `%s`
Pending Vendor Reviews,In attesa Venditore Recensioni
All Vendor Reviews of Customer `%s`,Tutte le recensioni Vendor di clienti `%s`
All Vendor Reviews,Tutte le recensioni Vendor
Rating with %s id not found,Valutazione con%s id non trovata
The rating has been saved.,Il voto è stato salvato.
The rating has been deleted.,Il voto è stato eliminato.
Reviews and Ratings,Recensioni
Edit Vendor Review,Modifica Venditore recensione
Customer Reviews,recensioni dei clienti
The review was removed by another user or does not exist.,La revisione è stata rimossa da un altro utente o non esiste.
The review has been saved.,La revisione è stata salvata.
The review has been deleted,La revisione è stata eliminata
Please select review(s).,Si prega di selezionare commento (s).
An error occurred while updating the selected review(s).,Si è verificato un errore durante l'aggiornamento della revisione selezionata (s).
Unable to get the product ID.,Impossibile ottenere l'ID del prodotto.
My Vendor Pending Reviews,Il mio fornitore In attesa di recensioni
My Vendor Reviews,I miei Venditore Recensioni
Review not allowed.,Commenta non ammessi.
Your review has been accepted for moderation.,Il tuo commento è stato accettato per la moderazione.
Unable to post the review.,Impossibile pubblicare il commento.
You have already voted on this review!,Hai già votato su questa recensione!
Your voice has been accepted. Thank you!,La tua voce è stata accettata. Grazie! 
Review was not found!,Recensione non è stato trovato!
"Unable to vote. Please, try again later.",Impossibile votare. Riprova più tardi.
Reviews for vendor %s,Recensioni per vendor%s
Pending Reviews,In attesa di recensioni
All Reviews,tutte le recensioni
Vendor Rating Options,Opzioni Vendor Rating
Allow customer review on the following statuses,Consentire il giudizio dei clienti sui seguenti stati
"Delay in days to send ""Email notification / Follow up emails""","Gara momentaneamente giorni per l'invio ""di notifica e-mail / Follow-up messaggi di posta elettronica"""
"Setup delay in days when to send ""Email notification / Follow up emails"" to inspire customer review vendor shipments. Separate multiple days with comma "","". This will allow arbitrary days to send email notification and further follow up emails.","ritardo di impostazione in giorni quando inviare ""Notifica e-mail / follow-up email"" ad ispirare recensione cliente spedizioni vendor. più giorni separati con virgola """". Questo permetterà giorni arbitrari di inviare notifiche e-mail e l'ulteriore follow-up e-mail."
Rating with the same title,Valutazione con lo stesso titolo
Vendor Reviews,venditore Recensioni
Allow customers review/rate vendor,Consentire ai clienti commento / fornitore tasso
entity_id=%s is already used in rating/rating_entity. Change it in %s.,ENTITY_ID =%s è già utilizzato in Valutazione / rating_entity. Cambiarlo in%s.
entity_id=%s is already used in review/review_entity. Change it in %s.,ENTITY_ID =%s è già utilizzato in revisione / review_entity. Cambiarlo in%s.
Customer Tax Class Information,Informazioni per i clienti Tax Class
Vendor Tax Class Information,Venditore Tax Class Informazioni
Product Tax Class Information,Informazioni sul prodotto Tax Class
Product Tax Classes,Classi fiscali del prodotto
Add New Class,Aggiungi Nuova classe
Customer Tax Classes,Classi fiscali dei clienti
Vendor Tax Classes,Le classi fornitore fiscali
Tax Rule Information,Informazioni norma tributaria
Customer Tax Class,Tax Class clienti
Product Tax Class,Tax Class prodotto
Vendor Tax Class,Classe fornitore fiscale
Tax Rate,Aliquota fiscale.
"Tax rates at the same priority are added, others are compounded.","sono aggiunte le aliquote fiscali con la stessa priorità, gli altri sono aggravati."
There was an error while updating vendor(s) type,Si è verificato un errore durante l'aggiornamento del fornitore (s) Tipo
You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.,Non è possibile cancellare questa categoria fiscale in quanto viene utilizzato in norme fiscali. È necessario eliminare le regole viene utilizzato per primo.
You cannot delete this tax class as it is used for %d vendors.,Non è possibile cancellare questa categoria fiscale in quanto viene utilizzato per%d fornitori.
The tax class has been deleted.,La categoria fiscale è stato cancellato.
An error occurred while deleting this tax class.,Si è verificato un errore durante l'eliminazione questa categoria fiscale.
Manage Vendor Tax Classes,Gestire le classi fornitore fiscali
"Rules (%s) already exist for the specified Tax Rate, Customer Tax Class and Product Tax Class combinations","Regole (%s) già esiste per l'aliquota fiscale specificato, Tax Class Cliente e combinazioni di prodotti categoria fiscale"
Change Vendor Tax Class,Cambiare fornitore Tax Class
Submit Return,Invia Return
Submit Shipment,Invia Spedizione
New Return for Order #%s,Nuovo ritorno per l'Ordine #%s
Return #,Rendimento:
Return Created,Ritorna Creato
Shipper Name,mittente Nome
Tracking Price,Monitoraggio Prezzo
Return View,Return
uReturn #%1$s | %2$s,uReturn #%1$s | %2$s
uReturns,uReturns
Invalid entity model,modello di entità non valido
Order # %s,Ordine: %s
About Your Return,Informazioni sul ritorno
This Return no longer exists.,Questo ritorno non esiste più.
The order no longer exists.,L'ordine non esiste più.
The Return has been created.,Il ritorno è stato creato.
New Return,Nuovo ritorno
View Return,Return
Wrong generate label request.,Sbagliato generare richiesta di etichetta.
Cannot initialize rma for adding tracking number.,Impossibile inizializzare RMA per l'aggiunta di numero di tracking.
Cannot add tracking number.,Impossibile aggiungere numero di tracking.
Cannot initialize rma.,Impossibile inizializzare RMA.
Cannot printf label.,Impossibile printf etichetta.
The carrier needs to be specified.,Il vettore deve essere specificato.
Tracking number cannot be empty.,Il numero di inseguimento non può essere vuoto.
Cannot initialize rma for delete tracking number.,Impossibile inizializzare RMA per numero di tracking di eliminazione.
Cannot delete tracking number.,Impossibile eliminare il numero di tracking.
Cannot load track with retrieving identifier.,Impossibile caricare pista con il recupero di identificatore.
Cannot retrieve tracking number detail.,Impossibile recuperare il numero di tracking dettagli.
uReturn,uReturn
RMA status has been changed,Stato RMA è stato modificato
Cannot change RMA status,Non è possibile modificare lo stato RMA
Your comment has been sent,Il tuo commento è stato inviato
No RMAs found for these criteria,Nessun RMA trovato per questi criteri
RMA status has been updated,Stato RMA è stato aggiornato
New uReturn,Nuovo uReturn
uReturn Update,uReturn Aggiornamento
Returns,Restituisce
Returns Email Sender,Restituisce Email Sender
Returns Email Template,Restituisce Email Template
Send Returns Email Copy To,Invia ritorni Email Copia
Comma-separated.,Separato da virgola.
Send Returns Email Copy Method,Send restituisce Email Metodo Copy
uReturns Comments,uReturns Commenti
Returns Comment Email Sender,Restituisce Commento Email Sender
Returns Comment Email Template,Restituisce Commento Email Template
Send Returns Comment Email Copy To,Send restituisce Scrivi i tuoi commenti Email Copia
New RMA Vendor Notification Email Template,Nuovo RMA notifica del fornitore Modello di email
RMA Comment Vendor Notification Email Template,RMA Commento Fornitore di notifica e-mail Template
Hide order information from customer on existing RMA page,Nascondere le informazioni ordine da cliente a pagina RMA esistente
"Hide order information from customer on ""Request New RMA"" page","Nascondere le informazioni ordine dal cliente sulla pagina ""Richiedi Nuovo RMA"""
Statuses,Status
Reasons to return,Ragioni per tornare
Item Conditions,Condizioni voce
Customer success,Il successo dei clienti
Customer no items selected,Clienti sono articoli selezionati
"Customer instructions on ""Request New RMA"" page","cliente le istruzioni sulla pagina ""Richiedi nuovo RMA"""
Create uReturn,creare uReturn
"Invalid qty to create rma for item ""%s","qty non valido per creare RMA per la voce ""%s"
"No detail for number ""%s","Nessun dettaglio per il numero di ""%s"
Cannot register existing rma,Non è possibile registrare rma esistente
Cannot create an empty rma.,Impossibile creare un RMA vuoto.
Global,Globale
RMA ID,RMA ID
RMA Date,RMA Data
RMA Status,RMA Stato
Reason to return,Motivo per tornare
Origin,{0}{0}origine){/0} .{/0}
Title/Sort Order,Titolo / Ordine
Template,Modello
Header,Testata
Item Separate Template,Articolo Modello separato
Totals Template,Totali Template
Use Item Separate Template,Usa oggetto modulo separato
Footer Separate Template,Footer Template separato
Remove,Rimuovere
Add Template,Aggiungi modello
Billing,Fatturazione
Limits,I limiti
Code:,Codice
Title:,Titolo:
Billing Type:,Fatturazione Tipo:
Offline (Manual),Offline (Manuale)
Auto (Paypal Express),Auto (Paypal Express)
Product SKU:,SKU del prodotto.
Limit Products:,Prodotti limite:
Allow Microsite:,Consenti microsito:
Show On Registration Form:,Mostra Su Modulo di registrazione:
Add Membership Type,Aggiungi Tipo di iscrizione
Fieldset Title/Sort Order,Fieldset Titolo / Ordine
Top/Bottom wide fields,Alto / Basso campi larghi
Left/Right column fields,Sinistra / campi colonna di destra
Top Wide Fields,Top campi larghi
Bottom Wide Fields,In basso vasti campi
Left Column Fields,Campi colonna di sinistra
Right Column Fields,Campi colonna di destra
Add Fieldset,Aggiungere fieldset
Field,Campo
Is Required,È obbligatorio
Use custom label,Utilizzare etichetta personalizzata
Has URL,ha URL
Add Field,Aggiungi campo
Row Subtotal,Row subtotale
Gift,Regalo
No ordered items,Non ci sono articoli ordinati
Update Items and Qty\'s,Aggiornare gli elementi e Qtà \ 's
Total %d product(s),Totale%d prodotto (s)
Subtotal:,Subtotale:
Excl. Tax,Escl. Imposta
Incl. Tax,(tasse inc.)
Total incl. tax,Totale iva inclusa
Tier Pricing,Pricing Tier
Custom Price,personalizzato Prezzo
Move to Shopping Cart,Spostare al Carrello
Move to Wishlist,Sposta nella lista dei desideri
This product has not been configured.,Questo prodotto non è stato configurato.
Save Vendor Updates,Salva Venditore Aggiornamenti
Check Vendors Stock,Controllare Fornitori della
Are you sure you want to change the vendors and send notifications?,Sei sicuro di voler modificare i venditori e inviare notifiche?
No stock available,Nessun azione disponibili
Customer Group,Gruppi clienti
All Websites,Tutto Delcampe
Add Group Price,Aggiungere Group Prezzo
QTY,Quantità:
ALL GROUPS,Tutti i gruppi
and above,11 e superiori
Add Tier Price,Aggiungere Tier Prezzo
Add Vendor,Aggiungere Venditore
Drop Shipping Vendor Associations,Trasporto di goccia Associazioni fornitore
Price/Cost,Prezzo / costo
Availability,Disponibilità
Status/State(Condition),Stato / State (Stato)
Vendor Price:,Fornitore Prezzo:
Cost:,Costo:
Vendor Special Price:,Fornitore Prezzo Speciale:
Special From Date:,Speciale Da Data:
Special To Date:,Speciale A Data:
Free Shipping:,Spedizione gratuita
Shipping Price:,Prezzo di spedizione:
Group Price:,Gruppo Prezzo:
Tier Price:,Tier Prezzo:
Backorders:,ORDINI INEVASI
State:,Provincia:
Date:,Data: 
Status:,Stato:
State(Condition):,State (Stato):
State Description:,Stato Descrizione:
Tips:,Consigli:
"If the same vendor is selected multiple times, only the first occurence will be saved","Se lo stesso fornitore è stato selezionato più volte, solo la prima occorrenza verrà salvato"
"If Vendor SKU is empty, the Product SKU will be used for this vendor.","Se Venditore SKU è vuoto, la SKU prodotto sarà utilizzato per questo fornitore."
"If Vendor Cost is empty, the Product Cost will be used for this vendor.","Se Venditore Il costo è vuota, il costo del prodotto sarà utilizzato per questo fornitore."
"If custom stock check is used, stock quantity will be ignored.<br/>If stock quantity is 0, the product is out of stock for this vendor.<br/>If stock quantity is empty and custom stock check is NOT used, the product is always in stock for this vendor.","Se si utilizza personalizzato magazzino di controllo, magazzino quantità sarà ignorato. <br/> Se magazzino quantità è 0, il prodotto è esaurito per questo fornitore. <br/> Se magazzino quantità è vuota e personalizzati di controllo non viene utilizzato, il prodotto è sempre in azione per questo fornitore."
Schedule,Ripetizione
Add Schedule,Aggiungi orario
By default only items that do not have corresponding shipment items will be canceled,"Per impostazione predefinita, solo gli elementi che non hanno corrispondenti voci di spedizione saranno annullate"
Nonshipped Cancel,Nonshipped Annulla
This will cancel non shipped shipments,Questo annullerà le spedizioni non spediti
Full Cancel,intero Annulla
This will cancel even shipped shipments,Questo annullerà le spedizioni ancora spediti
Comment Text,Commento di testo
Notify Vendor by Email,Notifica Venditore tramite e-mail
Visible to Vendor,Visibile al fornitore
Notified,Notificato
Not Notified,non notificati
Such status change is not allowed. Please confirm forced transition,Tale cambiamento di stato non è permesso. Si prega di confermare la transizione forzata
This will cancel purchase order and all shipments (if possible).,Questo annullerà ordine d'acquisto e tutte le spedizioni (se possibile).
This will mark as shipped purchase order and all shipments (if possible).,Questo segnerà come ordine d'acquisto spedito e tutte le spedizioni (se possibile).
Payment Information,Informazioni sul Pagamento
The order was placed using %s,L'ordine è stato effettuato usando%s
Items to Po,Articoli al Po
Qty to Po,Quantità di Po
Purchase Order Comments,Ordine di Acquisto Commenti
Order Shipping Amount,Ordine Trasporto Importo
Total Shipping Amount,Importo totale Spedizione
Purchase Order for %s,Ordine di acquisto per%s
Shipping Method,metodo di spedizione
Shipping Amount,Importo spedizione
Items,Oggetti
Generate Label,genera etichetta
Shipment Info,Spedizione Info
Weight:,Peso
Value:,Valore:
Declared Value,Valore dichiarato
Pkg. Dimensions,PACCO Dimensioni
Length:,Lunghezza:
Length,Lunghezza:
Width:,Larghezza:21
Width,Larghezza
Height:,Altezza:
Height,Altezza
Package Count,Count pacchetto
Reference,Riferimenti
Use Label Amount,Importo Usa Label
Use Label Shipping Amount,Usa etichetta di trasporto Importo
Invoice Shipment,Spedizione fattura
Mark As Shipped,Segna come spedito
PO Sent,PO Sent
PO Canceled,PO Annullato
Order was placed using %s,Ordine è stato effettuato usando%s
Purchase Order Items,Ordine di Acquisto Articoli
Purchase Order History,Ordine di acquisto Storia
Do Not Automatically Generate PO,Non generare automaticamente PO
Ordered,Ordinato
Invoiced,fatturato
Refunded,Rimborsato
Links with associated products will retain only after saving current product.,Collegamenti con i prodotti associati manterranno solo dopo aver salvato prodotto corrente.
Create Simple Associated Product,Creare semplice prodotto affine
Super product attributes configuration,Super attributi di prodotto di configurazione
Price values for options should be specified in system base currency.,I valori dei prezzi per le opzioni devono essere specificati nella valuta di base del sistema.
Attrribute names can be specified per store.,nomi Attrribute possono essere specificati per ogni negozio.
Attribute Name:,nome attributo
Use default,Uso di default
Use To Identify Image,Utilizzare per identificare Immagine
Option:,Opzione 1
Price:,Prezzo 
Percentage,Percentuale
Use Default Value,Usa valore predefinito
Product with this combination of attributes already associated to configurable.,Prodotto con questa combinazione di attributi già associato a configurabile.
Image type and information need to be specified for each store view.,Tipo di immagine e le informazioni devono essere specificati per ogni visualizzazione negozio.
Image,Immagine
Label,Etichetta
Exclude,Escludere
Roll Over for preview,Roll Over per l'anteprima
Choose an Option...,Scegli un'opzione
No image,Nessuna immagine
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Questo contenuto richiede l'ultima versione di Adobe Flash Player. <a href=""%s""> Get Flash </a>"
Turn OFF Required,Spegnere Richiesto
Turn ON Required,Accendere Richiesto
Attribute,Attributo
Identify Images,identificare Immagini
Limit by product type,Limitare per tipo di prodotto
Simple,Semplice
Configurable,configurabile
Downloadable,Giochi scaricabili
Virtual,Virtuale
Grouped,raggruppate
Column Title,colonna Titolo
Fields,Campi
Add Column,Aggiungi colonna
Default Template SKU,Modello predefinito SKU
Default Configurable Attributes,Attributi predefiniti configurabili
Category,Categoria
Allow grouped,Consenti raggruppati
Allow downloadables,Consenti downloadables
Allow virtual,Consenti virtuale
Disallow simple,Non consentire semplice
Use from template product,Utilizzare dal prodotto template
Type of Product,Tipo di prodotto
Attribute Sets,attributo imposta
Failed,Fallito
Template SKU,modello SKU
Configurable Attributes,attributi configurabili
Attributes Used To Identify Images,Attributi utilizzati per identificare le immagini
Default Attributes Used To Identify Images,Gli attributi di default utilizzata per identificare Immagini
* Check to use default,* Partenza da utilizzare di default
1 star,Stella
2 stars,2 Stelle
3 stars,3 Stelle
4 stars,4 Stelle
5 stars,5 Stelle
Please select one of each ratings above,Si prega di selezionare una delle ogni feedback sopra
Rating isn't Available,Valutazione non è disponibile
Notify Customer,Notifica ai clienti
Customer,Cliente
This will cancel shipment (if possible).,Questo annullerà la spedizione (se possibile).
This will mark shipment as shipped (and if possible change PO status as well).,"Questo segnerà la spedizione come spedito (e, se possibile modificare lo stato PO pure)."
This will mark shipment as delivered (and if possible change PO status as well).,"Questo segnerà la spedizione al momento della consegna (e, se possibile modificare lo stato PO pure)."
Qty Shipped,Quantità Spedito
the order confirmation email was sent,l'e-mail di conferma d'ordine è stato inviato
the order confirmation email is not sent,l'e-mail di conferma d'ordine non viene inviato
Order Date (%s),Data Ordine: %s
Purchased From,Comprato da
Link to the New Order,Link alla New Order
Link to the Previous Order,Link alla precedente ordine
Placed from IP,Collocato da IP
%s / %s rate:,%S /%s rate:
Account Information,Informazioni sul conto
Date of Birth,Data di Nascita
TAX/VAT Number,FISCALE / Partita IVA
Shipping Address,Indirizzo di spedizione
If Up To,Se fino a
Use Value,valore d'uso 10
Amount is required,è richiesto Importo
Region,Stato
Postcode,CAP
Add Country Rows,Aggiungere righe Paese
Incl. Tax ,(tasse inc.) 
Update Shipping Methods,Aggiornare i metodi di spedizione
Refresh Rates,frequenze di aggiornamento
Click to change shipping method,Fare clic per cambiare metodo di spedizione
"Sorry, no quotes are available for this order at this time.","Spiacente, nessun citazioni sono disponibili per questo scopo in questo momento."
Get shipping methods and rates,Ottenere i metodi e le tariffe di spedizione
Shipping method selection is not applicable,Selezione del metodo di spedizione non è applicabile
Default Commission Percent (per item),Percentuale della Commissione di default (per articolo)
Default Fixed Rate (per item),Predefinito Tasso Fisso (per articolo)
Commission Percent (per item),Percentuale Commissione (per articolo)
Fixed Rate (per item),Tasso Fisso (per articolo)
Default Fixed Rate,Predefinito Tasso Fisso
Delivery Type,tipo di consegna
*** All ***,Tutto
Custmer Group,Gruppo custmer
Add Rate,Aggiungere Tasso
Category vs Ship Classes,Categoria vs classi di navi
Maximum,Massimo
Default Rate,Tasso predefinito
Base Rate,Tasso base
Add Delivery Type,Aggiungi metodo di consegna
Surcharge,Sovraccarico
Add Surcharge,Aggiungere Supplemento
If Condition Up To,Se la condizione fino a
Add Condition,Aggiungi condizione
Conditional Rates,Tariffe condizionali
Condition Name,Nome condizione
If  Condition Up To,Se la condizione fino a
Value,Valore
Resolution notes,note risoluzione
Notify Customer By Email,Notifica clienti tramite posta elettronica
Visible on frontend,Visibile frontend
Items to Return,Unità da restituire
Condition,Codizione
Qty to Return,Quantità al ritorno
Return Comments,Rientro Commenti
Append Comments,aggiungere commenti
Email Copy of Return,E-mail copia del Ritorno
Return Sent,Rientro Sent
Return Sender,mittente Return
Return Receiver,Ricevitore Return
Return Tracking Info,Rientro Informazioni sul monitoraggio
Return Items,Restituire articoli
Return History,Storia di ritorno
Track this Return,Sottoscrivi questa Return
Print Labels,Etichette di stampa
Return Info,Informazioni reso
Customer Notes,Note clienti
Allow resolution notes,Consenti note risoluzione
Show Receiver To Customer,Visualizza Ricevitore Per clienti
There are no products matching the selection.,Non ci sono prodotti corrispondenti alla selezione.
%s %s from,%S%s da
Add to Cart,Aggiungi al carrello
View Details,Visualizza dettagli
Add to Wishlist,Aggiungi alla Lista dei desideri
Add to Compare,Aggiungi al comparatore
Learn More,Per saperne di più
Select Vendor,Seleziona fornitore
<strong>%s-%s</strong> of %s offers,<Strong>%s-%s </ strong> di%s offerte
Sort By,Ordina per:
Price + Shipping,prezzo spedizione
Seller,Venditore
Seller Rating,Valutazioni del venditore
Update Cart,Aggiorna carrello
Click to zoom out,Clicca per diminuire
Click to zoom in,Clicca per ingrandire
Ask A Question,Fai una domanda
Shipment #%s for order #%s,Spedizione #%s per l'ordine n%s
VENDOR,FORNITORE
* Required Fields,* Campi obbligatori
Submit,invio
My Questions,Le mie domande
Ask New Question,Chiedi Nuova domanda
Details,Dettagli
ANSWER DATE,DATA RISPOSTA
You have no questions.,Non ci sono domande.
Vendor Questions/Answers,Venditore Domande / Risposte
<b>%s</b> asks vendor <b>%s</b>,<B>%s </ b> chiede fornitore <b>%s </ b>
Answer,Rispondi
Not Answered yet,Non ancora risposta
No questions asked yet.,Nessuna domanda ancora chiesto.
Ask Vendor A Question,Chiedi fornitore una domanda
Your Name,Il tuo nome
Reply question #%s from %s,Rispondi domanda #%s da%s
* Indicated Required Fields,I campi richiesti indicati
"Please wait, submitting...","Attendere, invio ..."
Save,Salvare
Save And Email,Salva ed e-mail
Return to questions list,Torna alla lista domande
From Order ID,Da ID ordine
To Order ID,To Order ID
Question Visibility,domanda Visibilità
Any,Qualsiasi
From Question Date,Dal Domanda Data
To Question Date,A mettere in discussione Data
Question,Domanda
Is Replied,di risposta ai
Reset Filter,Filtro di ripristino
Search,Cerca
VISIBILITY,- Visibilità: -
Estimate Shipping and Tax,costi stimati di trasporto e tasse
Enter your destination to get a shipping estimate.,Inserisci la destinazione per avere un preventivo delle spese.
State/Province,Stato / Provincia
"Please select region, state or province","Si prega di selezionare la regione, stato o provincia"
Zip/Postal Code,Codice postale
Get a Quote,Richiedi un preventivo
Update Total,Aggiornamento totale
There are no vendors matching the selection.,Non ci sono i venditori corrispondenti alla selezione.
Items %s to %s of %s total,Articoli da%sa%s del totale%s
%s Item(s),{0}%s{/0} prodotti
Show,Mostra
per page,per pagina
View as,Visualizza come
Set Ascending Direction,Imposta Ordine Ascendente
Set Descending Direction,Imposta Ordine Discendente
Gift Message,regalo Messaggio
Item,Articolo
Gift Message for this Order,Regalo Messaggio per questo Ordine
System Sku,sistema Sku
Select Shipping:,Seleziona spedizione:
Unknown vendor,fornitore sconosciuta
No Pending Reviews,Nessuna recensione in sospeso
No Reviews,Nessuna recensione
Review by <span>%s</span>,Recensione di <span>%s </ span>
(Posted on %s),(Pubblicato il%s)
Summary of Your Review,Sommario della tua recensione
Submit Review,Invia recensione
Please select one of each of the ratings above,Si prega di selezionare uno di ciascuno dei rating di cui sopra
%d Review(s),%d recensione(i)
Select Delivery Type to edit Rates,Selezionare il tipo di consegna di modificare Tariffe
"Please wait, loading...","Si prega di attendere, caricamento ..."
Your application has been received.,La tua domanda è stata ricevuta.
Thank you for the registeration!,Grazie per la registeration!
Your recurring payment profiles:,I suoi ricorrenti profili di pagamento:
"Payment profile # %s: ""%s"".","Pagamento profilo #%s: ""%s""."
Go To Vendor Portal,Vai a fornitore Portal
No Membership,No appartenenza
Shop description must be between %s char and %s char,Descrizione del negozio deve essere compreso tra%s char e char%s
Become a Vendor,Diventa fornitore
Register,Registrazion
Return to log in,Ritorna all'Accesso
Required Fixes,Correzioni richieste
Data Changed,dati modificati
NEW PRODUCT,Nuovo prodotto
Attributes Changes,attributi Modifiche
Added configurable simple products,Aggiunto prodotti semplici configurabili
Removed configurable simple products,Rimossi prodotti semplici configurabili
Please upload images,Si prega di caricare le immagini
Add/Edit Images,Aggiungere / modificare le immagini
Upload Pictures,Carica Foto
Main Image,Immagine principale
(Type of product: %s),(Tipo di prodotto:%s)
Save And Continue Edit,Salva e continua Edit
Return to product list,Ritorna alla lista dei prodotti
Price Value,Prezzo Valore
Percent,Percentuale
Add Option Price,Aggiungere Opzione Prezzo
Add Another %s,Aggiungi un altro%s
Add Other Options,Aggiungere Altre opzioni
At least one option should be added,Deve essere aggiunto almeno un dosaggio. 
Autogenerate Vendor Sku,Genera automaticamente Venditore Sku
Add Configuration,Aggiungi configurazione
Links can be purchased separately,I link possono essere acquistati separatamente
Max. Downloads,Max. download
Shareable,Condivisibile
Sample,Esempio
File,File
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alfanumerico, trattino e caratteri di sottolineatura sono raccomandati per i nomi dei file. caratteri impropri vengono sostituiti con \ '_ \'."
There are files that were selected but not uploaded yet. Please upload or remove them first,"Ci sono file che sono stati selezionati, ma non ha ancora aggiunto. Si prega di caricare o rimuoverli prima"
Delete Group Price,Elimina gruppo Prezzo
"At least one ""%s"" should be added","Almeno un ""%s"" deve essere aggiunto"
Add Another ,Aggiungi un altro 
Delete Tier,Eliminare Tier
Use Config Settings,Usa impostazioni di configurazione
System SKU,sistema SKU
System Status,Icone di stato del sistema
From Price,da Prezzo
To Price,per Prezzo
From Stock Qty,Dalla disponibilità Quantità
To Stock Qty,Per Qtà
Type of product: ,Tipo di prodotto: 
Add Virtual Product,Aggiungere virtuale tra i prodotti
Add Dowloadable Product,Aggiungere Dowloadable prodotto
Add Grouped Product,Aggiungere raggruppati prodotto
Add New Product (with options),Aggiungi nuovo prodotto (con opzioni)
Add New Product,Aggiungi Nuovo prodotto
System ID,ID di sistema
"This action will delete product ""%s"".","Questa azione eliminerà prodotto ""%s""."
My Products,I miei prodotti
"Promotion #%s ""%s","Promozione #%s ""%s"
Return to rules list,Indietro alla lista regole
Date Start,data di inizio
From Date Start,Dalla data di inizio
To Date Start,A Data di inizio
Date Expire,data di scadenza
From Date Expire,Da La data di scadenza
To Date Expire,A La data di scadenza
Add New Promotion,Aggiungi nuova promozione
My Promotions,Le mie promozioni
Create an Account,Crea un account
Personal Information,Dati personali
Email Address,Indirizzo E-mail
Sign Up for Newsletter,Iscriviti alla Newsletter
Address Information,Informazioni indirizzo
Company,Azienda
Street Address,Indirizzo
Street Address %s,Indirizzo%s
Login Information,Informazioni di accesso
Confirm Password,Conferma password
Back,Indietro
Options,Opzioni
#NAME?,Nome
- Select Option -,- Selezionare l'opzione -
Additional details about Condition,Ulteriori dettagli su Condizione
Your Price,Il tuo prezzo
#NAME?,Nome
Allow free shipping for this product,Permette il trasporto libero per questo prodotto
State Description,Stato Descrizione
My SKU,Il mio SKU
My Title,Il mio Titolo
Browse All Products,Sfoglia tutti i prodotti
Sell with Us,Vendi con Noi
Help,Aiuto
RSS,RSS
Monster Market,Mostro di mercato
All rights reserved.,Tutti i diritti riservati.
Privacy Policy,politica sulla riservatezza
Terms of Use,Condizioni d'uso
Sell Your Product,Vendi il tuo prodotto
Logged in as %s,Collegato come {0}%s{/0}
Log out,Logout
Welcome!,Benvenuti!
Switch To Sell Yours,Per passare Vendi i tuoi
Switch To My Sell List,Passa a Il mio Sell List
Find,Cerca
Go,Vai a
Didn't find what you're looking for? <span>Create your product</span>,Non hai trovato quello che stai cercando? <Span> Crea il tuo prodotto </ span>
"Search Results for ""%s"" in category ""%s","Risultati della Ricerca di ""%s"" nella categoria ""%s"
"Browsing category ""%s","categoria Browsing ""%s"
"Search Results for ""%s","Risultati della Ricerca di ""%s"
Edit My Offer,Modifica La mia offerta
"<span>Or,</span> Browse by Category","<Span> Oppure, </ span> Sfoglia per categoria"
Didn't find what you're looking for?,Non hai trovato quello che stai cercando?
Create your product,Crea il tuo prodotto
Tracking Information,L'inseguimento delle informazioni
Close Window,CHIUDI FINESTRA
RMA #,RMA #
Tracking Number:,Numero Pratica: 100159634403
