Download Labels,Télécharger étiquettes
Actions Filter [Apply the rule only to cart items matching the following conditions (leave blank for all items)],Actions Filtre [Appliquer la règle uniquement aux éléments de panier correspondant aux conditions suivantes (laisser vide pour tous les articles)]
Apply To,Postuler à
Coupons,Bons de réduction 
Coupons Information,Informations Coupons
Coupon Qty,Nombre de coupon
Code Length,code Longueur
"Excluding prefix, suffix and separators.","Hors préfixe, suffixe et séparateurs."
Code Format,code Format
Code Prefix,code Prefix
Code Suffix,code Suffixe
Dash Every X Characters,Dash Chaque X Characters
If empty no separation.,Si elle est vide pas de séparation.
Wrong rule specified.,règle spécifiée est incorrecte.
The rule has been saved.,La règle a été enregistrée.
An error occurred while saving the rule data. Please review the log and try again.,Une erreur est survenue lors de l'enregistrement des données de la règle. S'il vous plaît consulter le journal et essayez à nouveau.
Rating Title,Titre Note
Is Aggregatable,est-ce Aggregatable
Default Value,Valeur par défaut
Rating Visibility,Note Visibilité
Visible In,visible dans
"If you do not specify a rating title for a store, the default value will be used.","Si vous ne spécifiez pas un titre de notation pour un magasin, la valeur par défaut sera utilisée."
Assigned Options,options de Assigned
Option Label,Libellé d'option
Rating Information,Informations Note
Rating Options,Options Note
Save Rating,Enregistrer Note
Delete Rating,supprimer Note
Edit Rating,Modifier l'évaluation
New Rating,Nouvelle Evaluation
Rating Name,Nom Note
Manage Ratings,Gérer Commentaires
Add New Rating,Ajouter une nouvelle Evaluation
Review Details,Détails de l'avis
Summary Rating,Résumé des notes
Detailed Rating,Évaluation détaillée
Detailed Non-Aggregatable Rating,Détail non Aggregatable Note
Nickname,Pseudo
Summary of Review,Résumé de l'examen
Review,Avis
Save Review,Language Weaver
Delete Review,supprimer examen
Edit Review '%s,Modifier examen de l « %
New Review,Nouveau commentaire
Created On,Créé le
Product Name,Nom du produit
Product SKU,Référence du produit
Update Status,6.2 Mise à jour du statut
Pending Vendor Reviews of Customer `%s`,En attendant Commentaires des fournisseurs de clients `%s`
Pending Vendor Reviews,En attendant Commentaires des fournisseurs
All Vendor Reviews of Customer `%s`,Tous les commentaires fournisseurs de clients `%s`
All Vendor Reviews,Tous les commentaires fournisseurs
Rating with %s id not found,Note avec% id s non trouvé
The rating has been saved.,La note a été enregistrée.
The rating has been deleted.,La note a été supprimée.
Reviews and Ratings,Commentaires et évaluations
Edit Vendor Review,Modifier examen des fournisseurs
Customer Reviews,Avis des clients
The review was removed by another user or does not exist.,L'examen a été supprimé par un autre utilisateur ou n'existe pas.
The review has been saved.,L'examen a été enregistré.
The review has been deleted,L'examen a été supprimé
Please select review(s).,S'il vous plaît sélectionner commentaire (s).
An error occurred while updating the selected review(s).,Une erreur est survenue lors de la mise à jour de l'examen sélectionné (s).
Unable to get the product ID.,Impossible d'obtenir l'ID du produit.
My Vendor Pending Reviews,Mon fournisseur en attente Critiques
My Vendor Reviews,Critiques Vendor
Review not allowed.,Donnez votre avis interdits.
Your review has been accepted for moderation.,Votre évaluation a été acceptée pour la modération.
Unable to post the review.,Impossible de poster l'examen.
You have already voted on this review!,Vous avez déjà voté sur cette revue!
Your voice has been accepted. Thank you!,Votre voix a été acceptée. Merci beaucoup !
Review was not found!,Examen n'a pas été trouvé!
"Unable to vote. Please, try again later.",Impossible de voter. Réessayez plus tard.
Reviews for vendor %s,Commentaires pour le fournisseur%s
Pending Reviews,En attendant Commentaires
All Reviews,tous les avis
Vendor Rating Options,Options Evaluation du vendeur
Allow customer review on the following statuses,Permettre un examen des clients sur les statuts suivants
"Delay in days to send ""Email notification / Follow up emails""",Délai dans les jours à envoyer « notification par courrier électronique / Suivi des e-mails »
"Setup delay in days when to send ""Email notification / Follow up emails"" to inspire customer review vendor shipments. Separate multiple days with comma "","". This will allow arbitrary days to send email notification and further follow up emails.",délai d'installation en jours quand envoyer « notification par courrier électronique / Suivi des e-mails » pour inspirer les expéditions commentaires client fournisseur. Séparés plusieurs jours avec une virgule « ». Cela permettra jours arbitraires d'envoyer une notification par e-mail et un suivi ultérieur des e-mails.
Rating with the same title,Note avec le même titre
Vendor Reviews,Commentaires des fournisseurs
Allow customers review/rate vendor,Permettre un examen des clients / fournisseurs de taux
entity_id=%s is already used in rating/rating_entity. Change it in %s.,entity_id =%s est déjà utilisé dans note / rating_entity.Modifier en%s.
entity_id=%s is already used in review/review_entity. Change it in %s.,entity_id =%s est déjà utilisé dans l' examen / review_entity.Modifier en%s.
Customer Tax Class Information,Informations fiscales client classe
Vendor Tax Class Information,Taxe d'information de classe Vendor
Product Tax Class Information,Taxe produit Information classe
Product Tax Classes,Classes des Taxes Produits
Add New Class,Ajouter une nouvelle classe
Customer Tax Classes,Classes d'impôt à la clientèle
Vendor Tax Classes,Les catégories fiscales du vendeur
Tax Rule Information,Informations Règle fiscale
Customer Tax Class,Classe d'impôt à la clientèle
Product Tax Class,Classe taxe sur les produits
Vendor Tax Class,Classe d'impôt du vendeur
Tax Rate,Taux Taxe
"Tax rates at the same priority are added, others are compounded.","Les taux d'imposition à la même priorité sont ajoutés, d'autres sont aggravés."
There was an error while updating vendor(s) type,Il y avait une erreur en mettant à jour le type de fournisseur (s)
You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.,Vous ne pouvez pas supprimer cette classe d'impôt tel qu'il est utilisé dans les règles fiscales. Vous devez supprimer les règles qu'il est utilisé dans le premier.
You cannot delete this tax class as it is used for %d vendors.,Vous ne pouvez pas supprimer cette classe d'impôt comme il est utilisé pour les vendeurs% d.
The tax class has been deleted.,La classe d'impôt a été supprimé.
An error occurred while deleting this tax class.,Une erreur est survenue lors de la suppression de cette classe d'impôt.
Manage Vendor Tax Classes,Gérer les classes fiscales fournisseurs
"Rules (%s) already exist for the specified Tax Rate, Customer Tax Class and Product Tax Class combinations","Règles (%s) existent déjà pour le taux d'imposition spécifié, la classe d'impôt à la clientèle et les combinaisons de produits de classe fiscale"
Change Vendor Tax Class,Changer vendeur Catégorie fiscale
Submit Return,Retour soumettre
Submit Shipment,soumettre expédition
New Return for Order #%s,Nouveau retour pour ordre #%s
Return #,Retour
Return Created,Retour Créé
Shipper Name,Nom de l'expéditeur
Tracking Price,Prix ??de suivi
Return View,retour Voir
uReturn #%1$s | %2$s,uReturn #%1$s | %2$s
uReturns,uReturns
Invalid entity model,modèle d'entité non valide
Order # %s,Commande %s
About Your Return,A propos de votre retour
This Return no longer exists.,Ce retour n'existe plus.
The order no longer exists.,L'ordre n'existe plus.
The Return has been created.,Le retour a été créé.
New Return,nouveau retour
View Return,Voir le retour
Wrong generate label request.,Mauvais générer demande d'étiquette.
Cannot initialize rma for adding tracking number.,Impossible d'initialiser rma pour ajouter le numéro de suivi.
Cannot add tracking number.,Impossible d'ajouter le numéro de suivi.
Cannot initialize rma.,Impossible d'initialiser rma.
Cannot printf label.,Ne peut pas printf étiquette.
The carrier needs to be specified.,Le transporteur doit être spécifié.
Tracking number cannot be empty.,Le numéro de suivi ne peut pas être vide.
Cannot initialize rma for delete tracking number.,Impossible d'initialiser rma pour le numéro de suivi de suppression.
Cannot delete tracking number.,Impossible de supprimer le numéro de suivi.
Cannot load track with retrieving identifier.,Impossible de charger la piste avec identifiant la récupération.
Cannot retrieve tracking number detail.,Impossible de récupérer les détails du numéro de suivi.
uReturn,uReturn
RMA status has been changed,état RMA a été modifié
Cannot change RMA status,Ne peut pas changer l'état RMA
Your comment has been sent,Votre commentaire a été envoyé
No RMAs found for these criteria,Aucun de ces RMAs critères trouvés
RMA status has been updated,état RMA a été mis à jour
New uReturn,nouveau uReturn
uReturn Update,uReturn Mise à jour
Returns,Retours
Returns Email Sender,Renvoie Email Sender
Returns Email Template,Retours Modèle Email
Send Returns Email Copy To,Envoyer Retours Email Copier
Comma-separated.,Séparées par des virgules
Send Returns Email Copy Method,Envoyer copie Méthode Retours Envoyer
uReturns Comments,uReturns Commentaires
Returns Comment Email Sender,Retours Commentaire Email Sender
Returns Comment Email Template,Retourne Commentaire Email Template
Send Returns Comment Email Copy To,Envoyer Retours Commentaires Email Copier
New RMA Vendor Notification Email Template,Nouvelle notification du fournisseur RMA Modèle Email
RMA Comment Vendor Notification Email Template,RMA Notification de commentaire fournisseur Modèle Email
Hide order information from customer on existing RMA page,Masquer les informations de commande du client à la page de RMA existante
"Hide order information from customer on ""Request New RMA"" page",Masquer les informations de commande du client à la page « Demander un nouveau RMA »
Statuses,Statuts
Reasons to return,Raisons de revenir
Item Conditions,Conditions de l'article
Customer success,La réussite de nos clients
Customer no items selected,Aucun élément sélectionné client
"Customer instructions on ""Request New RMA"" page",Instructions à la clientèle à la page « Demander un nouveau RMA »
Create uReturn,Créer uReturn
"Invalid qty to create rma for item ""%s",Non valide qté pour créer rma pour l'article « %s
"No detail for number ""%s",Aucun détail pour le nombre « %s
Cannot register existing rma,Impossible d'enregistrer rma existant
Cannot create an empty rma.,Impossible de créer un vide rma.
Global,Général
RMA ID,ID RMA
RMA Date,date de retour
RMA Status,Statut RMA
Reason to return,Raison de retour
Origin,origine
Title/Sort Order,Titre / Ordre de tri
Template,Modèle
Header,Entête
Item Separate Template,Point Modèle séparé
Totals Template,Les totaux modèle
Use Item Separate Template,Utiliser un élément de modèle séparé
Footer Separate Template,Pied de page Modèle séparé
Remove,Retirer
Add Template,Ajouter un modèle
Billing,Facturation
Limits,Limites
Code:,Code :
Title:,Titre : 
Billing Type:,Type de facturation :
Offline (Manual),Hors-ligne (manuel)
Auto (Paypal Express),Auto (Paypal Express)
Product SKU:,Référence du produit:
Limit Products:,Limiter les produits:
Allow Microsite:,Autoriser microsite:
Show On Registration Form:,Afficher sur le formulaire d'inscription:
Add Membership Type,Ajouter Type d'adhésion
Fieldset Title/Sort Order,Commander fieldset Titre / Trier
Top/Bottom wide fields,Top / champs de fond larges
Left/Right column fields,champs de la colonne de gauche / droite
Top Wide Fields,Les champs Top larges
Bottom Wide Fields,Les champs larges du bas
Left Column Fields,Les champs de la colonne de gauche
Right Column Fields,Les champs de la colonne de droite
Add Fieldset,Ajouter Fieldset
Field,Champ
Is Required,Est obligatoire
Use custom label,Utilisez étiquette personnalisée
Has URL,a URL
Add Field,Ajouter un champ
Row Subtotal,Total partiel Row
Gift,Don
No ordered items,Aucun articles commandés
Update Items and Qty\'s,Articles de mise à jour et Nombre de \ 's
Total %d product(s),Produit total% d (s)
Subtotal:,Sous-total:
Excl. Tax,Excl. Taxe
Incl. Tax,taxes incluses
Total incl. tax,Total incl. impôt
Tier Pricing,Niveau prix
Custom Price,Prix ??sur mesure
Move to Shopping Cart,Déplacer au Panier
Move to Wishlist,Placer dans la liste de souhaits
This product has not been configured.,Ce produit n'a pas été configuré.
Save Vendor Updates,Enregistrer les mises à jour du fournisseur
Check Vendors Stock,Vérifiez Vendors Stock
Are you sure you want to change the vendors and send notifications?,Etes-vous sûr de vouloir changer les vendeurs et envoyer des notifications?
No stock available,Pas de stock disponible
Customer Group,Groupe du Client;
All Websites,tous les sites Web
Add Group Price,Ajouter Prix Groupe
QTY,QTE
ALL GROUPS,TOUS LES GROUPES
and above,"$500,001 et plus"
Add Tier Price,Ajouter Niveau Prix
Add Vendor,Ajouter un prestataire
Drop Shipping Vendor Associations,Drop Shipping Associations fournisseurs
Price/Cost,Prix ??/ Coût
Availability,Disponibilité
Status/State(Condition),Statut / État (Condition)
Vendor Price:,Prix du prestataire
Cost:,Prix :
Vendor Special Price:,Fournisseur Prix spécial:
Special From Date:,Spécial De Date:
Special To Date:,Spécial à ce jour:
Free Shipping:,129€ + Livraison Offerte
Shipping Price:,prix d'expédition
Group Price:,Prix ??de groupe:
Tier Price:,Prix ??de palier:
Backorders:,: les commandes en attente
State:,État:
Date:,Date :
Status:,Statut:
State(Condition):,État (Condition):
State Description:,État Description:
Tips:,Conseils:
"If the same vendor is selected multiple times, only the first occurence will be saved","Si le même fournisseur est sélectionné plusieurs fois, ne sera sauvé que la première occurence"
"If Vendor SKU is empty, the Product SKU will be used for this vendor.","Si Vendor SKU est vide, le SKU produit sera utilisé pour ce fournisseur."
"If Vendor Cost is empty, the Product Cost will be used for this vendor.","Si le coût du fournisseur est vide, le coût du produit sera utilisé pour ce fournisseur."
"If custom stock check is used, stock quantity will be ignored.<br/>If stock quantity is 0, the product is out of stock for this vendor.<br/>If stock quantity is empty and custom stock check is NOT used, the product is always in stock for this vendor.","Si le contrôle des actions personnalisé est utilisé, la quantité de stock sera ignorée. <br/> Si la quantité de stock est 0, le produit est en rupture de stock pour ce fournisseur. <br/> Si la quantité de stock est vide et le contrôle des actions sur mesure ne sert pas, le produit est toujours en stock pour ce fournisseur."
Schedule,Le Calendrier
Add Schedule,Ajouter un horaire
By default only items that do not have corresponding shipment items will be canceled,"Par défaut, seuls les éléments qui ne sont pas des éléments d'expédition correspondants seront annulés"
Nonshipped Cancel,Nonshipped Annuler
This will cancel non shipped shipments,Ceci annulera les envois non expédiés
Full Cancel,Annulé
This will cancel even shipped shipments,Ceci annulera les envois expédiés même
Comment Text,Commentaire texte
Notify Vendor by Email,Notifier vendeur par e-mail
Visible to Vendor,Visible au fournisseur
Notified,notifié
Not Notified,non notifié
Such status change is not allowed. Please confirm forced transition,Un tel changement de statut n'est pas autorisé. S'il vous plaît confirmer la transition forcée
This will cancel purchase order and all shipments (if possible).,Ceci annulera une commande d'achat et tous les envois (si possible).
This will mark as shipped purchase order and all shipments (if possible).,Ce sera comme commande expédiée et toutes les expéditions (si possible).
Payment Information,Informations de paiement
The order was placed using %s,La commande a été placée en utilisant%s
Items to Po,Articles à Po
Qty to Po,Quantité Po
Purchase Order Comments,Bon de commande Commentaires
Order Shipping Amount,Montant Mode d'expédition
Total Shipping Amount,D'envoi Montant
Purchase Order for %s,Bon de commande pour%s
Shipping Method,Moyen de Livraison
Shipping Amount,Frais de
Items,Articles
Generate Label,générer le libellé
Shipment Info,Infos expédition
Weight:,Poids:
Value:,Valeur:
Declared Value,Valeur déclarée
Pkg. Dimensions,Pkg. Dimension
Length:,Longueur:
Length,Longueur 
Width:,Largeur:
Width,Largeur 
Height:,Grandeur:
Height,Hauteur 
Package Count,forfait Count
Reference,Référence
Use Label Amount,Utiliser l'étiquette Montant
Use Label Shipping Amount,Utiliser l'étiquette d'expédition Montant
Invoice Shipment,facture Expédition
Mark As Shipped,Marquer comme expédié
PO Sent,PO Sent
PO Canceled,PO annulée
Order was placed using %s,Commande a été placée en utilisant%s
Purchase Order Items,Achetez des articles Trier
Purchase Order History,Bon de commande Histoire
Do Not Automatically Generate PO,Ne pas générer automatiquement PO
Ordered,Commandé
Invoiced,facturé
Refunded,Remboursé 
Links with associated products will retain only after saving current product.,Les liens avec les produits associés conserveront seulement après l'enregistrement produit actuel.
Create Simple Associated Product,Créer simple Produit associé
Super product attributes configuration,attributs de configuration Super produit
Price values for options should be specified in system base currency.,Les valeurs de prix pour les options doivent être précisées dans la devise de base du système.
Attrribute names can be specified per store.,Les noms de Attrribute peuvent être spécifiés par magasin.
Attribute Name:,Nom d'attribut
Use default,Utiliser par défaut
Use To Identify Image,Utiliser pour identifier l'image
Option:,Option
Price:,Valeur:
Percentage,Pourcentage
Use Default Value,Utiliser la valeur par défaut
Product with this combination of attributes already associated to configurable.,Produit avec cette combinaison d'attributs déjà associé à configurable.
Image type and information need to be specified for each store view.,Type d'image et des informations doivent être spécifiées pour chaque vue magasin.
Image,image
Label,Étiquette
Exclude,Exclure
Roll Over for preview,Survoler pour un aperçu
Choose an Option...,Choisis une option...
No image,Pas d'image
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Ce contenu nécessite la dernière version d'Adobe Flash Player. <a href=""%s""> Get Flash </a>"
Turn OFF Required,Éteignez requis
Turn ON Required,Allumez requis
Attribute,Attribut
Identify Images,identifier images
Limit by product type,Limiter par type de produit
Simple,simple
Configurable,configurable
Downloadable,Téléchargeable
Virtual,Virtuel 
Grouped,Groupé 
Column Title,colonne Titre
Fields,Champs
Add Column,Ajouter une colonne
Default Template SKU,Modèle par défaut SKU
Default Configurable Attributes,Par défaut Les attributs configurables
Category,Catégorie
Allow grouped,Autoriser groupée
Allow downloadables,Autoriser downloadables
Allow virtual,Autoriser virtuel
Disallow simple,Disallow simples
Use from template product,Utilisez du produit de modèle
Type of Product,Type de produit
Attribute Sets,des ensembles d'attributs
Failed,Échec
Template SKU,modèle SKU
Configurable Attributes,Les attributs configurables
Attributes Used To Identify Images,Attributs utilisés pour identifier les images
Default Attributes Used To Identify Images,Attributs par défaut utilisés pour identifier les images
* Check to use default,* Vérifier utiliser par défaut
1 star,Étoile
2 stars,4 étoiles
3 stars,4 étoiles
4 stars,4 étoiles
5 stars,5 étoiles
Please select one of each ratings above,S'il vous plaît choisir une de chaque note ci-dessus
Rating isn't Available,Note est pas disponible
Notify Customer,aviser le client
Customer,Client 
This will cancel shipment (if possible).,Cela annulera l'expédition (si possible).
This will mark shipment as shipped (and if possible change PO status as well).,Cela marquera l'expédition à la livraison (et si possible le changement de statut PO ainsi).
This will mark shipment as delivered (and if possible change PO status as well).,Cela marquera l'expédition à la livraison (et si possible le changement de statut PO ainsi).
Qty Shipped,Quantité Expédié
the order confirmation email was sent,l'e-mail de confirmation de commande a été envoyée
the order confirmation email is not sent,l'e-mail de confirmation de commande n'est pas envoyé
Order Date (%s),Date de la commande : {0}%s{/0}
Purchased From,Acheté de
Link to the New Order,Lien vers le nouvel ordre
Link to the Previous Order,Lien vers l'ordre précédent
Placed from IP,Placé de IP
%s / %s rate:,%s /%s Taux:
Account Information,Paramètres du compte
Date of Birth,Date de naissance
TAX/VAT Number,FISCAL / Numéro de TVA
Shipping Address,Adresse de livraison 
If Up To,Si jusqu'à
Use Value,Utiliser la valeur
Amount is required,Le montant est nécessaire
Region,Région
Postcode,code postal
Add Country Rows,Ajouter des lignes Pays
Incl. Tax ,taxes incluses 
Update Shipping Methods,Mise à jour des méthodes d'expédition
Refresh Rates,Tarifs Actualiser
Click to change shipping method,Cliquez pour changer la méthode d'expédition
"Sorry, no quotes are available for this order at this time.","Désolé, aucun devis n'est disponible pour cette commande pour l'instant."
Get shipping methods and rates,Obtenez Modes et tarifs
Shipping method selection is not applicable,Sélection de la méthode de livraison n'est pas applicable
Default Commission Percent (per item),Commission par défaut pour cent (par article)
Default Fixed Rate (per item),Par défaut à taux fixe (par article)
Commission Percent (per item),Pourcentage de la Commission (par article)
Fixed Rate (per item),Taux fixe (par article)
Default Fixed Rate,Par défaut à taux fixe
Delivery Type,Delivery type
*** All ***,Tout
Custmer Group,Groupe custmer
Add Rate,Ajouter Note
Category vs Ship Classes,Catégorie vs classes de navires
Maximum,Maximal
Default Rate,Taux de défaut
Base Rate,Taux de Base
Add Delivery Type,Ajouter un type de livraison
Surcharge,Surtaxe
Add Surcharge,Ajouter Surtaxe
If Condition Up To,Si la condition jusqu'à
Add Condition,Ajouter une condition
Conditional Rates,Tarifs conditionnels
Condition Name,Nom Condition
If  Condition Up To,Si la condition jusqu'à
Value,Valeur
Resolution notes,Notes de résolution
Notify Customer By Email,Aviser le client par e-mail
Visible on frontend,Visible sur frontend
Items to Return,Articles à retour
Condition,Conditions
Qty to Return,Quantité de retour
Return Comments,Retour Commentaires
Append Comments,Commentaires append
Email Copy of Return,Email Copie Retour
Return Sent,Retour Envoyé
Return Sender,retour Sender
Return Receiver,retour récepteur
Return Tracking Info,Retour Informations de suivi
Return Items,Retourner les articles
Return History,retour Histoire
Track this Return,Suivre ce retour
Print Labels,Les étiquettes d'impression
Return Info,Infos retour
Customer Notes,Notes clients
Allow resolution notes,Autoriser les notes de résolution
Show Receiver To Customer,Afficher le récepteur au client
There are no products matching the selection.,Aucun produit ne correspond à la sélection.
%s %s from,%s%s de
Add to Cart,Ajouter au panier
View Details,Voir les détails...
Add to Wishlist,Ajouter à la liste d'envies
Add to Compare,Ajouter pour comparer
Learn More,En savoir plus
Select Vendor,Sélectionnez fournisseur
<strong>%s-%s</strong> of %s offers,<Strong>%s-%s </ strong> des offres de%
Sort By,Trier par
Price + Shipping,Prix ??+ Livraison
Seller,producteur
Seller Rating,NOTE DU VENDEUR
Update Cart,Mise à jour du panier 
Click to zoom out,Cliquez pour effectuer un zoom arrière
Click to zoom in,Cliquez pour agrandir
Ask A Question,POSER UNE QUESTION
Shipment #%s for order #%s,Expédition #%s pour l'ordre #%s
VENDOR,Prestataire
* Required Fields,Champs obligatoires
Submit,Envoyez
My Questions,Mes questions
Ask New Question,Posez Nouvelle question
Details,Détails
ANSWER DATE,DATE DE RÉPONSE
You have no questions.,Vous avez pas de questions.
Vendor Questions/Answers,Questions / Réponses fournisseurs
<b>%s</b> asks vendor <b>%s</b>,<B>%s </ b> demande fournisseur <b>%s </ b>
Answer,Réponse
Not Answered yet,Pas encore de réponse
No questions asked yet.,Aucune question posée pour le moment.
Ask Vendor A Question,Demandez vendeur Une question
Your Name,Votre nom 
Reply question #%s from %s,Répondre question #%s de%s
* Indicated Required Fields,* Indiqué Champs obligatoires
"Please wait, submitting...","S'il vous plaît attendre, soumettre ..."
Save,Sauvegarder 
Save And Email,Enregistrer et Envoyer
Return to questions list,Retour à la liste de questions
From Order ID,De la commande ID
To Order ID,Pour commander ID
Question Visibility,question Visibilité
Any,Tous
From Question Date,De Question Date de
To Question Date,À la question Date de
Question,Question
Is Replied,est-ce Répondit
Reset Filter,Réinitialiser les filtres
Search,Rechercher
VISIBILITY,visibilité
Estimate Shipping and Tax,Estimation des frais de transports et de la TVA
Enter your destination to get a shipping estimate.,Entrez votre destination pour obtenir une estimation de l'expédition.
State/Province,État/Province
"Please select region, state or province","Veuillez choisir la région, état ou province"
Zip/Postal Code,Code postal
Get a Quote,DEMANDER UN DEVIS
Update Total,Mise à jour totale
There are no vendors matching the selection.,Il n'y a pas de vendeurs correspond à la sélection.
Items %s to %s of %s total,Articles%s à%s du total de%
%s Item(s),{0}%1$s{/0} Items
Show,Montrer
per page,Par page
View as,Voir comme
Set Ascending Direction,Par ordre croissant
Set Descending Direction,Par ordre décroissant
Gift Message,Message cadeau
Item,Article 
Gift Message for this Order,Message cadeau pour cette commande
System Sku,système Sku
Select Shipping:,Sélectionnez Livraison:
Unknown vendor,fournisseur inconnu
No Pending Reviews,Aucun avis en attente
No Reviews,Aucun avis
Review by <span>%s</span>,Examen par <span>%s </ span>
(Posted on %s),Posté le {0}%s{/0}
Summary of Your Review,Résumé de votre commentaire
Submit Review,Envoyer l'avis
Please select one of each of the ratings above,S'il vous plaît choisir une de chacune des valeurs ci-dessus
%d Review(s),% D Critique (s)
Select Delivery Type to edit Rates,Sélectionner le type de livraison à modifier Tarifs
"Please wait, loading...","S'il vous plaît attendre, Chargement en cours ..."
Your application has been received.,Votre demande a été reçue.
Thank you for the registeration!,Merci pour le registeration!
Your recurring payment profiles:,Vos profils de paiement récurrents:
"Payment profile # %s: ""%s"".","profil paiement #%s: ""%s""."
Go To Vendor Portal,Aller au vendeur Portail
No Membership,aucune adhésion
Shop description must be between %s char and %s char,Description de magasin doit être comprise entre%s et%s omble chevalier omble chevalier
Become a Vendor,Devenir un fournisseur
Register,Créer un compte
Return to log in,Retour à se connecter
Required Fixes,Corrections requises
Data Changed,données modifiées
NEW PRODUCT,Nouveau produit
Attributes Changes,attributs changements
Added configurable simple products,Ajout de produits simples configurables
Removed configurable simple products,Suppression des produits simples configurables
Please upload images,S'il vous plaît télécharger des images
Add/Edit Images,Ajouter / Modifier images
Upload Pictures,Téléchargez des images
Main Image,Image principale
(Type of product: %s),(Type de produit:%s)
Save And Continue Edit,Enregistrer et continuer Modifier
Return to product list,Retour à la liste des produits
Price Value,Valeur de prix
Percent,Pourcent
Add Option Price,Ajouter une option Prix
Add Another %s,Ajouter un autre%s
Add Other Options,Ajouter Autres options
At least one option should be added,Au moins une option doit être ajouté
Autogenerate Vendor Sku,Autogenerate Fournisseur Sku
Add Configuration,Ajouter Configuration
Links can be purchased separately,Les liens peuvent être achetés séparément
Max. Downloads,Max. Téléchargements
Shareable,partageable
Sample,Échantillon
File,Fichier
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumeric, tirets ou des underscores caractères sont recommandés pour les noms de fichiers. caractères incorrects sont remplacés par \ « _ \ »."
There are files that were selected but not uploaded yet. Please upload or remove them first,Il y a des fichiers qui ont été sélectionnés mais non encore téléchargés. S'il vous plaît télécharger ou les supprimer d'abord
Delete Group Price,Supprimer Prix Groupe
"At least one ""%s"" should be added",Au moins un « %s » doit être ajouté
Add Another ,Ajouter un autre 
Delete Tier,supprimer Tier
Use Config Settings,Utiliser les paramètres Config
System SKU,système SKU
System Status,État du système
From Price,Des tarifs
To Price,À prix
From Stock Qty,De Stock Quantité
To Stock Qty,Pour stock Quantité
Type of product: ,Type de produit: 
Add Virtual Product,Ajouter un produit virtuel
Add Dowloadable Product,Ajouter téléchargables produit
Add Grouped Product,Ajouter Groupés produit
Add New Product (with options),Ajouter un nouveau produit (avec options)
Add New Product,Ajouter un nouveau produit 
System ID,ID système
"This action will delete product ""%s"".",Cette action supprimera produit « %s ».
My Products,Mes produits
"Promotion #%s ""%s",Promotion #% « %s de de
Return to rules list,Retour à la liste des règles
Date Start,Date de début
From Date Start,Date de début de
To Date Start,Pour Date de début
Date Expire,Date d'expiration
From Date Expire,Date d'Expirez
To Date Expire,À ce jour Expirez
Add New Promotion,Ajouter un nouveau Promotion
My Promotions,Mes Promotions
Create an Account,Créer un compte
Personal Information,Information personnelle
Email Address,Adresse email
Sign Up for Newsletter,S'inscrire aux Newsletters
Address Information,Coordonnées
Company,Entreprise
Street Address,Adresse
Street Address %s,Adresse%s
Login Information,Informations de connexion
Confirm Password,Confirmez le mot de passe
Back,Retour
Options,Options 
#NAME?,'= Certains livrables en difficulté.
- Select Option -,Choisir l'option
Additional details about Condition,Des détails supplémentaires sur l'état
Your Price,Ton prix
#NAME?,'= Certains livrables en difficulté.
Allow free shipping for this product,Autoriser la livraison gratuite pour ce produit
State Description,Etat description
My SKU,mon SKU
My Title,Mon titre
Browse All Products,Parcourir tous les produits
Sell with Us,Vendre avec nous
Help,Aide
RSS,RSS
Monster Market,Marché Monster
All rights reserved.,Tous droits réservés.
Privacy Policy,Politique de confidentialité
Terms of Use,Mentions Légales
Sell Your Product,Vendre votre produit
Logged in as %s,Connecté en tant que {0}%1$s{/0}
Log out,Se déconnecter 
Welcome!,Bienvenue!
Switch To Sell Yours,Passer au vôtre Vendre
Switch To My Sell List,Aller à Ma liste de vente
Find,Trouver
Go,Lancez-vous
Didn't find what you're looking for? <span>Create your product</span>,Vous ne trouvez pas ce que vous cherchez? <Span> Créer votre produit </ span>
"Search Results for ""%s"" in category ""%s",Résultats de la recherche pour% dans la catégorie » « %s » s
"Browsing category ""%s",catégorie Parcourir « %s
"Search Results for ""%s",Résultats de la recherche pour « %s
Edit My Offer,Modifier mon offre
"<span>Or,</span> Browse by Category","<Span> Ou, </ span> Parcourir par catégorie"
Didn't find what you're looking for?,Vous ne trouvez pas ce que vous cherchez?
Create your product,Créer votre produit
Tracking Information,Information de suivi
Close Window,Fermer la fenêtre
RMA #,RMA #
Tracking Number:,Numéro de Suivi 
Carrier:,transporteur
Error:,Erreur:
Tracking information is currently not available. Please ,Les informations de suivi est pas disponible actuellement. S'il vous plaît 
contact us,Contact
 for more information or ,pour plus d'informations ou 
email us at ,Contactez nous 
Info:,Information:
Track:,Chanson:
Delivered on:,Délivré le:
Signed by:,Signature:
Delivered to:,Livré à:
Shipped or billed on:,Expédié ou facturé sur:
Service Type:,Type de service:
Local Time,Heure locale
There is no tracking available for this shipment.,Il n'y a pas de suivi disponible pour cet envoi.
There is no tracking available.,Il n'y a pas de suivi disponible.
From Order Date,De la commande Date de
To Order Date,Commander date
From RMA ID,ID de RMA
To RMA ID,Pour ID RMA
From RMA Date,Date d'entrée RMA
