Download Labels,Download de etiquetas
Summary Rating,Avaliação Sumária
Detailed Rating,Avaliação detalhada
Detailed Non-Aggregatable Rating,Classificação detalhada não agregável
Nickname,Apelido
Summary of Review,Resumo da revisão
Review,Reveja
Save Review,Revisão
Delete Review,Excluir comentário
Edit Review '%s,Editar revisão '% s
New Review,Nova revisão
Created On,Criado em
Product Name,Nome do Produto
Product SKU,SKU do produto
Update Status,Atualizar o status
Pending Vendor Reviews of Customer `%s`,Comentários de fornecedores pendentes do cliente `% s`
Pending Vendor Reviews,Comentários de vendedores pendentes
All Vendor Reviews of Customer `%s`,Todas as opiniões dos fornecedores do cliente `% s`
All Vendor Reviews,Todas as avaliações de fornecedores
Rating with %s id not found,Classificação com% s id não encontrado
The rating has been saved.,A classificação foi guardada.
The rating has been deleted.,A avaliação foi apagada.
Reviews and Ratings,Comentários e Classificações
Edit Vendor Review,Editar revisão do fornecedor
Customer Reviews,Avaliações de Clientes
The review was removed by another user or does not exist.,A revisão foi removida por outro usuário ou não existe.
The review has been saved.,A revisão foi salva.
The review has been deleted,A revisão foi excluída
Please select review(s).,Selecione a (s) revisão (s).
An error occurred while updating the selected review(s).,Ocorreu um erro ao atualizar as revisões selecionadas.
Unable to get the product ID.,Não é possível obter o ID do produto.
My Vendor Pending Reviews,Meu Vendedor Pendente Comentários
My Vendor Reviews,Meu fornecedor Comentários
Review not allowed.,Revisão não permitida.
Your review has been accepted for moderation.,Sua avaliação foi aceita para moderação.
Unable to post the review.,Não foi possível publicar a revisão.
You have already voted on this review!,Você já votou neste comentário!
Your voice has been accepted. Thank you!,Sua voz foi aceita. Obrigado!
Review was not found!,A revisão não foi encontrada!
"Unable to vote. Please, try again later.","Incapaz de votar. Por favor, tente novamente mais tarde."
Reviews for vendor %s,Comentários para vendor% s
Pending Reviews,Comentários pendentes
All Reviews,Todos os Comentários
Vendor Rating Options,Opções de avaliação do fornecedor
Allow customer review on the following statuses,Permitir a revisão do cliente nos seguintes estados
"Delay in days to send ""Email notification / Follow up emails""","Atraso em dias para enviar ""notificação por e-mail / follow-up e-mails"""
"Setup delay in days when to send ""Email notification / Follow up emails"" to inspire customer review vendor shipments. Separate multiple days with comma "","". This will allow arbitrary days to send email notification and further follow up emails.","Atraso de configuração em dias quando enviar ""Notificação por e-mail / E-mails de acompanhamento"" para inspirar as remessas de fornecedores de revisões de clientes. Separe vários dias com vírgula "","". Isso permitirá que dias arbitrários enviem notificações por e-mail e acompanhem os e-mails."
Rating with the same title,Classificação com o mesmo título
Vendor Reviews,Avaliações de fornecedores
Allow customers review/rate vendor,Permitir que os clientes revisem / avaliem o fornecedor
entity_id=%s is already used in rating/rating_entity. Change it in %s.,Entity_id =% s já é usado em rating / rating_entity. Alterá-lo em% s.
entity_id=%s is already used in review/review_entity. Change it in %s.,Entity_id =% s já é usado em review / review_entity. Alterá-lo em% s.
Customer Tax Class Information,Informações sobre a classe de imposto de cliente
Vendor Tax Class Information,Informações da classe de imposto do fornecedor
Product Tax Class Information,Informações sobre a classe de imposto de produto
Product Tax Classes,Classes de imposto de produto
Add New Class,Adicionar nova classe
Customer Tax Classes,Classes de imposto de cliente
Vendor Tax Classes,Classes de imposto sobre fornecedores
Tax Rule Information,Informações sobre a regra fiscal
Customer Tax Class,Classe de imposto de cliente
Product Tax Class,Classe de imposto sobre o produto
Vendor Tax Class,Classe de imposto do fornecedor
Tax Rate,Taxa de imposto
"Tax rates at the same priority are added, others are compounded.","Taxas de imposto com a mesma prioridade são adicionados, outros são compostos."
There was an error while updating vendor(s) type,Ocorreu um erro ao atualizar o (s) tipo (s) de fornecedor
You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.,Não é possível excluir esta classe de imposto como ela é usada em Regras de imposto. Você tem que excluir as regras que é usado em primeiro lugar.
You cannot delete this tax class as it is used for %d vendors.,Não é possível excluir esta classe de imposto como ela é usada para os fornecedores% d.
The tax class has been deleted.,A classe de imposto foi excluída.
An error occurred while deleting this tax class.,Ocorreu um erro ao eliminar esta classe de imposto.
Manage Vendor Tax Classes,Gerenciar classes de imposto de fornecedor
"Rules (%s) already exist for the specified Tax Rate, Customer Tax Class and Product Tax Class combinations","Regras (% s) já existem para as combinações de Taxa de Imposto, Classe de Imposto de Clientes e Taxa de Imposto do Produto"
Change Vendor Tax Class,Alterar classe de imposto de fornecedor
Submit Return,Enviar resposta
Submit Shipment,Enviar Envio
New Return for Order #%s,Novo retorno para ordem #% s
Return #,Retorna #
Return Created,Voltar Criado
Shipper Name,Nome do remetente
Tracking Price,Preço de acompanhamento
Return View,Voltar Ver
uReturn #%1$s | %2$s,UReturn #% 1 $ s | % 2 $ s
uReturns,UReturns
Invalid entity model,Modelo de entidade inválido
Order # %s,Ordem #% s
About Your Return,Sobre o Seu Regresso
This Return no longer exists.,Esse Retorno não existe mais.
The order no longer exists.,A ordem não existe mais.
The Return has been created.,O Retorno foi criado.
New Return,Novo retorno
View Return,Ver Retorno
Wrong generate label request.,Erro gerar solicitação de etiqueta.
Cannot initialize rma for adding tracking number.,Não é possível inicializar rma para adicionar número de rastreamento.
Cannot add tracking number.,Não é possível adicionar o número de rastreamento.
Cannot initialize rma.,Não é possível inicializar rma.
Cannot printf label.,Não é possível imprimir a etiqueta.
The carrier needs to be specified.,A transportadora precisa ser especificada.
Tracking number cannot be empty.,O número de rastreamento não pode estar vazio.
Cannot initialize rma for delete tracking number.,Não é possível inicializar o rma para o número de rastreamento de exclusão.
Cannot delete tracking number.,Não é possível excluir o número de rastreamento.
Cannot load track with retrieving identifier.,Não é possível carregar a trilha com o identificador de recuperação.
Cannot retrieve tracking number detail.,Não é possível obter detalhes do número de rastreamento.
uReturn,UReturn
RMA status has been changed,O status do RMA foi alterado
Cannot change RMA status,Não é possível alterar o status do RMA
Your comment has been sent,O seu comentário foi enviado
No RMAs found for these criteria,Não foram encontradas RMAs para esses critérios
RMA status has been updated,O status do RMA foi atualizado
New uReturn,Novo uReturn
uReturn Update,Atualização do uReturn
Returns,Retorna
Returns Email Sender,Retorna o remetente do e-mail
Returns Email Template,Modelo de e-mail de devoluções
Send Returns Email Copy To,Enviar Retorna Email Copiar para
Comma-separated.,Separado por vírgulas.
Send Returns Email Copy Method,Método de Envio de Retorno de Email
uReturns Comments,UReturns Comentários
Returns Comment Email Sender,Retorna Comentário Email Sender
Returns Comment Email Template,Retorna Comentário Email Template
Send Returns Comment Email Copy To,Enviar Devoluções Comentar E-mail Copiar para
New RMA Vendor Notification Email Template,Novo modelo de e-mail de notificação do fornecedor RMA
RMA Comment Vendor Notification Email Template,Modelo de e-mail de notificação do fornecedor de RMA
Hide order information from customer on existing RMA page,Ocultar informações da ordem do cliente na página RMA existente
"Hide order information from customer on ""Request New RMA"" page","Ocultar informações de pedido do cliente na página ""Solicitar nova RMA"""
Statuses,Status
Reasons to return,Razões para retornar
Item Conditions,Condições do Item
Customer success,Sucesso do cliente
Customer no items selected,Cliente nenhum item selecionado
"Customer instructions on ""Request New RMA"" page","Instruções do cliente na página ""Solicitar nova RMA"""
Create uReturn,Criar uReturn
"Invalid qty to create rma for item ""%s","Quantidade inválida para criar rma para o item ""% s"
"No detail for number ""%s","Nenhum detalhe para o número ""% s"
Cannot register existing rma,Não é possível registrar rma existente
Cannot create an empty rma.,Não é possível criar um rma vazio.
Global,Global
RMA ID,RMA ID
RMA Date,Data RMA
RMA Status,Status do RMA
Reason to return,Razão para retornar
Origin,Origem
Title/Sort Order,Título / Ordem de classificação
Template,Modelo
Header,Cabeçalho
Item Separate Template,Modelo de item separado
Totals Template,Modelo de totais
Use Item Separate Template,Usar Modelo de Item Separado
Footer Separate Template,Modelo separado de rodapé
Remove,Remover
Add Template,Adicionar modelo
Billing,Faturamento
Limits,Limites
Code:,Código:
Title:,Título:
Billing Type:,Tipo de faturamento:
Offline (Manual),Offline (Manual)
Auto (Paypal Express),Auto (Paypal Express)
Product SKU:,SKU do produto:
Limit Products:,Limite de Produtos:
Allow Microsite:,Permitir Microsite:
Show On Registration Form:,Mostrar no Formulário de Inscrição:
Add Membership Type,Adicionar tipo de associação
Fieldset Title/Sort Order,Título do campo / Ordem de classificação
Top/Bottom wide fields,Campos superiores / inferiores
Left/Right column fields,Campos da coluna Esquerda / Direita
Top Wide Fields,Top Wide Fields
Bottom Wide Fields,Campos inferiores
Left Column Fields,Campos da coluna esquerda
Right Column Fields,Campos da coluna direita
Add Fieldset,Adicionar Fieldset
Field,Campo
Is Required,É necessário
Use custom label,Usar etiqueta personalizada
Has URL,Tem URL
Add Field,Adicionar campo
Row Subtotal,Subtotal da linha
Gift,Presente
No ordered items,Nenhum item encomendado
Update Items and Qty\'s,Atualizar Itens e Qtds
Total %d product(s),Total% d produto (s)
Subtotal:,Subtotal:
Excl. Tax,Excl. Imposto
Incl. Tax,Incl. Imposto
Total incl. tax,Total incl. Imposto
Tier Pricing,Preços
Custom Price,Preço personalizado
Move to Shopping Cart,Mover para o carrinho de compras
Move to Wishlist,Mover para Lista de desejos
This product has not been configured.,Este produto não está configurado.
Save Vendor Updates,Salvar atualizações do fornecedor
Check Vendors Stock,Verificar estoque de fornecedores
Are you sure you want to change the vendors and send notifications?,Tem a certeza de que pretende alterar os fornecedores e enviar notificações?
No stock available,Sem estoque disponível
Customer Group,Grupo de clientes
All Websites,Todos os sites
Add Group Price,Adicionar Preço do Grupo
QTY,QTY
ALL GROUPS,TODOS OS GRUPOS
and above,e acima
Add Tier Price,Adicionar preço Tier
Add Vendor,Adicionar Fornecedor
Drop Shipping Vendor Associations,Drop Shipping Vendedor Associações
Price/Cost,Preço / Custo
Availability,Disponibilidade
Status/State(Condition),Estado / Estado (Condição)
Vendor Price:,Preço do fornecedor:
Cost:,Custo:
Vendor Special Price:,Vendor Preço Especial:
Special From Date:,Especial da data:
Special To Date:,Especial até à data:
Free Shipping:,Frete grátis:
Shipping Price:,Preço de envio:
Group Price:,Preço do Grupo:
Tier Price:,Preço Tier:
Backorders:,Backorders:
State:,Estado:
Date:,Encontro:
Status:,Status:
State(Condition):,Estado (Condição):
State Description:,Estado Descrição:
Tips:,Dicas:
"If the same vendor is selected multiple times, only the first occurence will be saved","Se o mesmo fornecedor for selecionado várias vezes, somente a primeira ocorrência será salva"
"If Vendor SKU is empty, the Product SKU will be used for this vendor.","Se a SKU do Fornecedor estiver vazia, a SKU do Produto será usada para esse fornecedor."
"If Vendor Cost is empty, the Product Cost will be used for this vendor.","Se o custo do fornecedor estiver vazio, o custo do produto será utilizado para esse fornecedor."
"If custom stock check is used, stock quantity will be ignored.<br/>If stock quantity is 0, the product is out of stock for this vendor.<br/>If stock quantity is empty and custom stock check is NOT used, the product is always in stock for this vendor.","Se a verificação de estoque personalizada for usada, a quantidade de estoque será ignorada. <br/> Se a quantidade de estoque for 0, o produto estará esgotado para este fornecedor. <br/> Se a quantidade de estoque estiver vazia e a verificação de estoque personalizada NÃO for usada, O produto está sempre em estoque para este fornecedor."
Schedule,Cronograma
Add Schedule,Adicionar programação
By default only items that do not have corresponding shipment items will be canceled,"Por padrão, somente os itens que não tiverem itens de remessa correspondentes serão cancelados"
Nonshipped Cancel,Cancelar Cancelar
This will cancel non shipped shipments,Isso cancelará as remessas não enviadas
Full Cancel,Cancelar Completo
This will cancel even shipped shipments,Isso cancelará mesmo as remessas enviadas
Comment Text,Texto do comentário
Notify Vendor by Email,Notificar ao fornecedor por e-mail
Visible to Vendor,Visível para o fornecedor
Notified,Notificado
Not Notified,Não notificado
Such status change is not allowed. Please confirm forced transition,Essa alteração de status não é permitida. Confirme a transição forçada
This will cancel purchase order and all shipments (if possible).,Isso cancelará o pedido e todas as remessas (se possível).
This will mark as shipped purchase order and all shipments (if possible).,Isso marcará como ordem de compra enviada e todas as remessas (se possível).
Payment Information,Informação de pagamento
The order was placed using %s,A ordem foi colocada usando% s
Items to Po,Itens para Po
Qty to Po,Qty to Po
Purchase Order Comments,Comentários da ordem de compra
Order Shipping Amount,Encomenda de envio
Total Shipping Amount,Valor total do envio
Purchase Order for %s,Pedido de compra de% s
Shipping Method,método de envio
Shipping Amount,Valor do envio
Items,Unid
Generate Label,Gerar rótulo
Shipment Info,Informações de remessa
Weight:,Peso:
Value:,Valor:
Declared Value,Valor declarado
Pkg. Dimensions,Pkg. Dimensões
Length:,Comprimento:
Length,comprimento
Width:,Largura:
Width,Largura
Height:,Altura:
Height,Altura
Package Count,Contagem de pacotes
Reference,Referência
Use Label Amount,Use a quantidade da etiqueta
Use Label Shipping Amount,Use o Valor de Envio da Etiqueta
Invoice Shipment,Envio de faturas
Mark As Shipped,Marcar como enviado
PO Sent,PO enviado
PO Canceled,PO Cancelado
Order was placed using %s,A ordem foi colocada usando% s
Purchase Order Items,Itens da ordem de compra
Purchase Order History,Histórico de pedidos
Do Not Automatically Generate PO,Não gera automaticamente PO
Ordered,Encomendado
Invoiced,Facturado
Refunded,Devolveu
Links with associated products will retain only after saving current product.,Os links com produtos associados só serão mantidos depois de salvar o produto atual.
Create Simple Associated Product,Criar produto associado simples
Super product attributes configuration,Configuração de super atributos de produto
Price values for options should be specified in system base currency.,Os valores dos preços das opções devem ser especificados na moeda base do sistema.
Attrribute names can be specified per store.,Os nomes Attrribute podem ser especificados por loja.
Attribute Name:,Nome do Atributo:
Use default,Use o padrão
Use To Identify Image,Use para identificar a imagem
Option:,Opção:
Price:,Preço:
Percentage,Percentagem
Use Default Value,Usar valor padrão
Product with this combination of attributes already associated to configurable.,Produto com esta combinação de atributos já associados ao configurável.
Image type and information need to be specified for each store view.,O tipo de imagem ea informação precisam ser especificados para cada exibição de loja.
Image,Imagem
Label,Rótulo
Exclude,Excluir
Roll Over for preview,Role para visualização
Choose an Option...,Escolha uma opção...
No image,Nenhuma imagem
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Este conteúdo requer a última versão do Adobe Flash Player. <a href=""%s""> Get Flash </a>"
Turn OFF Required,DESLIGAR Requerido
Turn ON Required,Ativar necessário
Attribute,Atributo
Identify Images,Identificar imagens
Limit by product type,Limite por tipo de produto
Simple,Simples
Configurable,Configurável
Downloadable,Downloadable
Virtual,Virtual
Grouped,Agrupado
Column Title,Título da coluna
Fields,Campos
Add Column,Adicionar Coluna
Default Template SKU,Modelo Padrão SKU
Default Configurable Attributes,Atributos Configuráveis ??Padrão
Category,Categoria
Allow grouped,Permitir agrupamento
Allow downloadables,Permitir download
Allow virtual,Permitir virtual
Disallow simple,Não permitir simples
Use from template product,Usar a partir do modelo de produto
Type of Product,Tipo de produto
Attribute Sets,Conjuntos de atributos
Failed,Falhou
Template SKU,Modelo SKU
Configurable Attributes,Atributos Configuráveis
Attributes Used To Identify Images,Atributos usados ??para identificar imagens
Default Attributes Used To Identify Images,Atributos padrão usados ??para identificar imagens
* Check to use default,* Verificar para usar o padrão
1 star,1 estrela
2 stars,2 estrelas
3 stars,3 estrelas
4 stars,4 estrelas
5 stars,5 estrelas
Please select one of each ratings above,Selecione uma de cada avaliação acima
Rating isn't Available,Classificação não está disponível
Notify Customer,Notificar ao Cliente
Customer,Cliente
This will cancel shipment (if possible).,Isso cancelará o envio (se possível).
This will mark shipment as shipped (and if possible change PO status as well).,"Isso marcará o envio como enviado (e, se possível, altere o status do pedido também)."
This will mark shipment as delivered (and if possible change PO status as well).,"Isso marcará a remessa como entregue (e, se possível, altere o status do pedido também)."
Qty Shipped,Quantidade enviada
the order confirmation email was sent,O email de confirmação do pedido foi enviado
the order confirmation email is not sent,O email de confirmação do pedido não foi enviado
Order Date (%s),Data da encomenda (% s)
Purchased From,Comprado de
Link to the New Order,Link para a nova ordem
Link to the Previous Order,Link para a ordem anterior
Placed from IP,Colocado do IP
%s / %s rate:,% S /% s taxa:
Account Information,Informação da conta
Date of Birth,Data de nascimento
TAX/VAT Number,Número de imposto / IVA
Shipping Address,endereço de entrega
If Up To,Se até
Use Value,Valor de Uso
Amount is required,O valor é necessário
Region,Região
Postcode,Código postal
Add Country Rows,Adicionar linhas de país
Incl. Tax ,Incl. Imposto
Update Shipping Methods,Atualizar Métodos de Envio
Refresh Rates,Taxas de atualização
Click to change shipping method,Clique para alterar o método de envio
"Sorry, no quotes are available for this order at this time.","Lamentamos, mas não há cotações disponíveis para esta encomenda neste momento."
Get shipping methods and rates,Obter métodos e taxas de envio
Shipping method selection is not applicable,A seleção do método de envio não é aplicável
Default Commission Percent (per item),Padrão Comissão Porcentagem (por item)
Default Fixed Rate (per item),Taxa fixa padrão (por item)
Commission Percent (per item),Comissão Porcentagem (por item)
Fixed Rate (per item),Taxa fixa (por item)
Default Fixed Rate,Taxa fixa padrão
Delivery Type,Tipo de entrega
*** All ***,*** Todos ***
Custmer Group,Grupo Custmer
Add Rate,Adicionar Taxa
Category vs Ship Classes,Categoria vs Classes de Navios
Maximum,Máximo
Default Rate,Taxa padrão
Base Rate,Taxa de base
Add Delivery Type,Adicionar tipo de entrega
Surcharge,Sobretaxa
Add Surcharge,Adicionar sobrecarga
If Condition Up To,Se a condição até
Add Condition,Adicionar condição
Conditional Rates,Taxas condicionais
Condition Name,Nome da condição
If  Condition Up To,Se a condição até
Value,Valor
Resolution notes,Notas de resolução
Notify Customer By Email,Notificar ao Cliente por E-mail
Visible on frontend,Visível no frontend
Items to Return,Itens a devolver
Condition,Condição
Qty to Return,Qtde retornar
Return Comments,Voltar Comentários
Append Comments,Anexar Comentários
Email Copy of Return,Cópia de e-mail do retorno
Return Sent,Retornar Enviado
Return Sender,Remetente de retorno
Return Receiver,Receptor de retorno
Return Tracking Info,Informações de rastreamento de devolução
Return Items,Retornar Itens
Return History,Histórico de Devolução
Track this Return,Acompanhe este retorno
Print Labels,Imprimir etiquetas
Return Info,Voltar informações
Customer Notes,Notas do cliente
Allow resolution notes,Permitir notas de resolução
Show Receiver To Customer,Mostrar Receptor ao Cliente
There are no products matching the selection.,Não existem produtos que correspondam à seleção.
%s %s from,% S% s de
Add to Cart,Adicionar ao carrinho
View Details,Ver detalhes
Add to Wishlist,Adicionar a lista de desejos
Add to Compare,Adicionar para comparar
Learn More,Saber mais
Select Vendor,Selecionar Fornecedor
<strong>%s-%s</strong> of %s offers,<Strong>% s-% s </ strong> de% s oferece
Sort By,Ordenar por
Price + Shipping,Preço Envio
Seller,Vendedor
Seller Rating,Classificação do vendedor
Update Cart,Atualizar carrinho
Click to zoom out,Click to zoom out
Click to zoom in,Click to zoom in
Ask A Question,Ask A Question
Shipment #%s for order #%s,Shipment #%s for order #%s
VENDOR,VENDOR
* Required Fields,* Required Fields
Submit,Submit
My Questions,My Questions
Ask New Question,Ask New Question
Details,Details
ANSWER DATE,ANSWER DATE
You have no questions.,You have no questions.
Vendor Questions/Answers,Vendor Questions/Answers
<b>%s</b> asks vendor <b>%s</b>,<b>%s</b> asks vendor <b>%s</b>
Answer,Answer
Not Answered yet,Not Answered yet
No questions asked yet.,No questions asked yet.
Ask Vendor A Question,Ask Vendor A Question
Your Name,Your Name
Reply question #%s from %s,Reply question #%s from %s
* Indicated Required Fields,* Indicated Required Fields
"Please wait, submitting...","Please wait, submitting..."
Save,Save
Save And Email,Save And Email
Return to questions list,Return to questions list
From Order ID,From Order ID
To Order ID,To Order ID
Question Visibility,Question Visibility
Any,Any
From Question Date,From Question Date
To Question Date,To Question Date
Question,Question
Is Replied,Is Replied
Reset Filter,Reset Filter
Search,Search
VISIBILITY,VISIBILITY
Estimate Shipping and Tax,Estimate Shipping and Tax
Enter your destination to get a shipping estimate.,Enter your destination to get a shipping estimate.
State/Province,State/Province
"Please select region, state or province","Please select region, state or province"
Zip/Postal Code,Zip/Postal Code
Get a Quote,Get a Quote
Update Total,Update Total
There are no vendors matching the selection.,There are no vendors matching the selection.
Items %s to %s of %s total,Items %s to %s of %s total
%s Item(s),%s Item(s)
Show,Show
per page,per page
View as,View as
Set Ascending Direction,Set Ascending Direction
Set Descending Direction,Set Descending Direction
Gift Message,Gift Message
Item,Item
Gift Message for this Order,Gift Message for this Order
System Sku,System Sku
Select Shipping:,Select Shipping:
Unknown vendor,Unknown vendor
No Pending Reviews,No Pending Reviews
No Reviews,No Reviews
Review by <span>%s</span>,Review by <span>%s</span>
(Posted on %s),(Posted on %s)
Summary of Your Review,Summary of Your Review
Submit Review,Submit Review
Please select one of each of the ratings above,Please select one of each of the ratings above
%d Review(s),%d Review(s)
Select Delivery Type to edit Rates,Select Delivery Type to edit Rates
"Please wait, loading...","Please wait, loading..."
Your application has been received.,Your application has been received.
Thank you for the registeration!,Thank you for the registeration!
Your recurring payment profiles:,Your recurring payment profiles:
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
Go To Vendor Portal,Go To Vendor Portal
No Membership,No Membership
Shop description must be between %s char and %s char,Shop description must be between %s char and %s char
Become a Vendor,Become a Vendor
Register,Register
Return to log in,Return to log in
Required Fixes,Required Fixes
Data Changed,Data Changed
NEW PRODUCT,NEW PRODUCT
Attributes Changes,Attributes Changes
Added configurable simple products,Added configurable simple products
Removed configurable simple products,Removed configurable simple products
Please upload images,Please upload images
Add/Edit Images,Add/Edit Images
Upload Pictures,Upload Pictures
Main Image,Main Image
(Type of product: %s),(Type of product: %s)
Save And Continue Edit,Save And Continue Edit
Return to product list,Return to product list
Price Value,Price Value
Percent,Percent
Add Option Price,Add Option Price
Add Another %s,Add Another %s
Add Other Options,Add Other Options
At least one option should be added,At least one option should be added
Autogenerate Vendor Sku,Autogenerate Vendor Sku
Add Configuration,Add Configuration
Links can be purchased separately,Links can be purchased separately
Max. Downloads,Max. Downloads
Shareable,Shareable
Sample,Sample
File,File
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'."
There are files that were selected but not uploaded yet. Please upload or remove them first,There are files that were selected but not uploaded yet. Please upload or remove them first
Delete Group Price,Delete Group Price
"At least one ""%s"" should be added","At least one ""%s"" should be added"
Add Another ,Add Another 
Delete Tier,Delete Tier
Use Config Settings,Use Config Settings
System SKU,System SKU
System Status,System Status
From Price,From Price
To Price,To Price
From Stock Qty,From Stock Qty
To Stock Qty,To Stock Qty
Type of product: ,Type of product: 
Add Virtual Product,Add Virtual Product
Add Dowloadable Product,Add Dowloadable Product
Add Grouped Product,Add Grouped Product
Add New Product (with options),Add New Product (with options)
Add New Product,Add New Product
System ID,System ID
"This action will delete product ""%s"".","This action will delete product ""%s""."
My Products,My Products
"Promotion #%s ""%s","Promotion #%s ""%s"
Return to rules list,Return to rules list
Date Start,Date Start
From Date Start,From Date Start
To Date Start,To Date Start
Date Expire,Date Expire
From Date Expire,From Date Expire
To Date Expire,To Date Expire
Add New Promotion,Add New Promotion
My Promotions,My Promotions
Create an Account,Create an Account
Personal Information,Personal Information
Email Address,Email Address
Sign Up for Newsletter,Sign Up for Newsletter
Address Information,Address Information
Company,Company
Street Address,Street Address
Street Address %s,Street Address %s
Login Information,Login Information
Confirm Password,Confirm Password
Back,Back
Options,Options
#NAME?,#NAME?
- Select Option -,- Select Option -
Additional details about Condition,Additional details about Condition
Your Price,Your Price
#NAME?,#NAME?
Allow free shipping for this product,Allow free shipping for this product
State Description,State Description
My SKU,My SKU
My Title,My Title
Browse All Products,Browse All Products
Sell with Us,Sell with Us
Help,Help
RSS,RSS
Monster Market,Monster Market
All rights reserved.,All rights reserved.
Privacy Policy,Privacy Policy
Terms of Use,Termos de uso
Sell Your Product,Venda seu produto
Logged in as %s,Conectado como% s
Log out,Sair
Welcome!,Bem vinda!
Switch To Sell Yours,Mude para vender os seus
Switch To My Sell List,Mudar para a minha lista de venda
Find,Encontrar
Go,Ir
Didn't find what you're looking for? <span>Create your product</span>,Não encontrou o que procurava? <Span> Crie o seu produto </ span>
"Search Results for ""%s"" in category ""%s","Resultados da pesquisa para ""% s"" na categoria ""% s"
"Browsing category ""%s","Navegando pela categoria ""% s"
"Search Results for ""%s","Resultados da Procura por ""% s"
Edit My Offer,Editar minha oferta
"<span>Or,</span> Browse by Category","<Span> Ou, </ span> Procurar por categoria"
Didn't find what you're looking for?,Não encontrou o que procurava?
Create your product,Crie o seu produto
Tracking Information,Informações de acompanhamento
Close Window,Janela fechada
RMA #,RMA #
Tracking Number:,Numero de rastreio:
Carrier:,Transportadora:
Error:,Erro:
Tracking information is currently not available. Please ,As informações de rastreamento não estão disponíveis no momento. Por favor
contact us,Contate-Nos
 for more information or , Para mais informações ou
email us at ,Envie-nos um email para
Info:,Info:
Track:,Acompanhando Dados de:
Delivered on:,Entregue em:
Signed by:,Assinado por:
Delivered to:,Entregue a:
Shipped or billed on:,Enviado ou faturado em:
Service Type:,Tipo de serviço:
Local Time,Horário local
There is no tracking available for this shipment.,Não há rastreamento disponível para esta remessa.
There is no tracking available.,Não há rastreamento disponível.
From Order Date,A partir da data da encomenda
To Order Date,Para a data da encomenda
From RMA ID,De RMA ID
To RMA ID,Para RMA ID
From RMA Date,De RMA Data
To RMA Date,Para RMA Data
Direction,Direção
Reason,Razão
Perform on all retrieved records:,Executar em todos os registros recuperados:
* No action,* Nenhuma ação
Collapse all rows,Recolher todas as linhas
Expand all rows,Expandir todas as linhas
"Please wait, loading RMA information...","Aguarde, carregando informações de RMA ..."
This action will print PDF for all filtered purchase orders.,Esta ação imprimirá PDF para todas as ordens de compra filtradas.
Please select a status.,Selecione um status.
This action will update status for all filtered RMAs.,Essa ação atualizará o status de todos os RMAs filtrados.
Qty Available,Quantidade disponível
Proceed with tracking ID deletion?,Continuar com a exclusão de identificação de rastreamento?
Tracking IDs,IDs de rastreamento
Delete tracking number,Excluir número de rastreamento
RMA Items,Itens RMA
Carrier Title,Título da operadora
Add Tracking ID,Adicionar ID de acompanhamento
Add Comment,Adicionar comentário
Visible to Customer,Visível para o Cliente
Change Status,Alterar status
Resolution Notes,Notas de resolução
Add RMA Comment,Adicionar RMA Comentário
Comments history,Histórico de comentários
My Orders,minhas ordens
Ship To,Enviar para
View Order,Ver pedido
Track Order,Acompanhar Pedido
Reorder,Reordenar
View RMA,Visualizar RMA
Request RMA,Solicitar RMA
You have placed no orders.,Você não fez nenhum pedido.
Order #%s - %s,Ordem #% s -% s
Subscribe to Order Status,Subscrever o estado do pedido
Print Order,Ordem de impressão
About This Order:,Sobre esta Ordem:
Order Date: %s,Data da encomenda:% s
No shipping information available,Não há informações de envio disponíveis
Instructions,Instruções
Order #%s,Ordem #% s
Shipment #%s,Envio #% s
Recent Orders,pedidos recentes
View All,Ver tudo
General Notes,Notas gerais
RMA Sender,Remetente RMA
RMA Receiver,Receptor RMA
Track this RMA,Acompanhe este RMA
Print Label,Etiqueta de impressão
Tracking Number(s):,Rastreando números):
of %s,De% s
Create New RMA,Criar novo RMA
Create RMA,Criar RMA
Back to My Orders,Voltar para Meus Pedidos
From Vendor Price,Do preço do fornecedor
To Vendor Price,Preço do fornecedor
Update Information On This Page,Atualizar informações nesta página
About the calendar,Sobre o calendário
DHTML Date/Time Selector,Seletor de data / hora DHTML
For latest version visit: %s,"Para a versão mais recente, visite:% s"
Distributed under GNU LGPL. See %s for details.,Distribuído sob GNU LGPL. Consulte% s para obter detalhes.
Date selection:,Data de seleção:
"- Use the %s, %s buttons to select year","- Use os botões% s,% s para selecionar o ano"
- Use the %s buttons to select month,- Use os botões% s para selecionar o mês
#NAME?,#NOME?
Time selection:,Seleção de tempo:
#NAME?,#NOME?
#NAME?,#NOME?
#NAME?,#NOME?
Prev. year (hold for menu),Anterior. Ano (segure para o menu)
Prev. month (hold for menu),Anterior. Mês (segure para o menu)
Go Today,Vá hoje
Next month (hold for menu),Próximo mês (segure para menu)
Next year (hold for menu),Próximo ano (segure para menu)
Select date,Selecionar data
Drag to move,Arraste para mover
Display %s first,Exibir% s primeiro
Close,Fechar
